=============================================================
 starting episode: 1200/2000
### TORCS is RELAUNCHED ###
Client connected on 3103..............
Ep:1200 step:460(892689), a_t=[s= 0.31, t= 1.000000, b= 0.000000], r_t=[r= 154.56, prog= 504.61, pen=-13.65, r_old= 154.56], Reward=  51418.14 /  51418.14 /  259455.47, epsilon=  0.100, speed=  168.66, gear= 5, damage= 0.00
Ep:1200 step:480(892709), a_t=[s=-0.17, t= 0.359781, b= 0.000000], r_t=[r= 150.46, prog= 502.17, pen=-16.93, r_old= 150.46], Reward=  54171.37 /  54171.37 /  259455.47, epsilon=  0.100, speed=  167.65, gear= 5, damage= 0.00
Ep:1200 step:500(892729), a_t=[s= 0.64, t= 0.971893, b= 0.000000], r_t=[r= 124.38, prog= 420.48, pen=-15.78, r_old= 124.38], Reward=  56247.18 /  56247.18 /  259455.47, epsilon=  0.100, speed=  140.16, gear= 5, damage= 0.00
Ep:1200 step:520(892749), a_t=[s= 0.11, t= 1.000000, b= 0.000000], r_t=[r= 126.46, prog= 468.96, pen=-29.86, r_old= 126.46], Reward=  58502.77 /  58502.77 /  259455.47, epsilon=  0.100, speed=  157.19, gear= 5, damage= 0.00
Ep:1200 step:540(892769), a_t=[s=-0.26, t= 0.000063, b= 0.000000], r_t=[r= 159.23, prog= 497.23, pen=-6.51, r_old= 159.23], Reward=  61207.56 /  61207.56 /  259455.47, epsilon=  0.100, speed=  165.87, gear= 5, damage= 0.00
Ep:1200 step:560(892789), a_t=[s= 0.16, t= 0.771975, b= 0.000000], r_t=[r= 108.70, prog= 510.16, pen=-61.36, r_old= 108.70], Reward=  63905.49 /  63905.49 /  259455.47, epsilon=  0.100, speed=  170.09, gear= 5, damage= 0.00
Ep:1200 step:580(892809), a_t=[s=-0.06, t= 0.546190, b= 0.000000], r_t=[r= 135.92, prog= 490.98, pen=-27.74, r_old= 135.92], Reward=  66606.88 /  66606.88 /  259455.47, epsilon=  0.100, speed=  163.68, gear= 5, damage= 0.00
Ep:1200 step:600(892829), a_t=[s=-0.06, t= 0.054883, b= 0.000000], r_t=[r= 133.85, prog= 497.45, pen=-31.97, r_old= 133.85], Reward=  69373.44 /  69373.44 /  259455.47, epsilon=  0.100, speed=  165.86, gear= 5, damage= 0.00
Ep:1200 step:620(892849), a_t=[s= 0.28, t= 0.999996, b= 0.000000], r_t=[r= 62.42, prog= 404.60, pen=-72.45, r_old= 62.42], Reward=  71389.11 /  71389.11 /  259455.47, epsilon=  0.100, speed=  135.48, gear= 4, damage= 0.00
Ep:1200 step:640(892869), a_t=[s= 0.62, t= 0.966504, b= 0.000000], r_t=[r= 41.57, prog= 396.68, pen=-90.65, r_old= 41.57], Reward=  73164.72 /  73164.72 /  259455.47, epsilon=  0.100, speed=  132.76, gear= 4, damage= 0.00
Ep:1200 step:660(892889), a_t=[s=-0.59, t= 0.000087, b= 0.000000], r_t=[r=-100.11, prog= 322.51, pen=-207.61, r_old=-100.11], Reward=  72493.91 /  72493.91 /  259455.47, epsilon=  0.100, speed=  111.82, gear= 4, damage= 26.00
META = 1 ... Running backwards
=============================================================
 starting episode: 1201/2000
Waiting for server on 3103............
Count Down : 5
Client connected on 3103..............
Ep:1201 step:0(892898), a_t=[s=-0.56, t= 0.952345, b= 0.000000], r_t=[r= 0.01, prog= 0.04, pen=-0.00, r_old= 0.01], Reward=  0.01 /  0.01 /  259455.47, epsilon=  0.100, speed=  0.01, gear= 1, damage= 0.00
Ep:1201 step:20(892918), a_t=[s= 0.42, t= 0.949542, b= 0.000000], r_t=[r= 68.61, prog= 265.59, pen=-19.92, r_old= 68.61], Reward=  738.90 /  738.90 /  259455.47, epsilon=  0.100, speed=  88.72, gear= 3, damage= 0.00
Ep:1201 step:40(892938), a_t=[s= 0.57, t= 0.960119, b= 0.000000], r_t=[r= 109.23, prog= 406.73, pen=-26.35, r_old= 109.23], Reward=  2558.59 /  2558.59 /  259455.47, epsilon=  0.100, speed=  135.88, gear= 4, damage= 0.00
Ep:1201 step:60(892958), a_t=[s=-0.02, t= 0.953985, b= 0.000000], r_t=[r= 133.06, prog= 426.67, pen=-9.16, r_old= 133.06], Reward=  4913.72 /  4913.72 /  259455.47, epsilon=  0.100, speed=  142.28, gear= 5, damage= 0.00
Ep:1201 step:80(892978), a_t=[s= 0.16, t= 0.881355, b= 0.000000], r_t=[r= 140.73, prog= 495.60, pen=-24.47, r_old= 140.73], Reward=  7414.82 /  7414.82 /  259455.47, epsilon=  0.100, speed=  165.28, gear= 5, damage= 0.00
Ep:1201 step:100(892998), a_t=[s=-0.19, t= 0.699604, b= 0.000000], r_t=[r= 71.08, prog= 463.42, pen=-83.39, r_old= 71.08], Reward=  10024.79 /  10024.79 /  259455.47, epsilon=  0.100, speed=  157.54, gear= 5, damage= 0.00
Ep:1201 step:120(893018), a_t=[s=-0.05, t= 0.579951, b= 0.000000], r_t=[r= 150.14, prog= 488.95, pen=-12.84, r_old= 150.14], Reward=  12932.13 /  12932.13 /  259455.47, epsilon=  0.100, speed=  163.13, gear= 5, damage= 0.00
Ep:1201 step:140(893038), a_t=[s= 0.03, t= 0.154068, b= 0.000000], r_t=[r= 97.87, prog= 458.96, pen=-55.12, r_old= 97.87], Reward=  15562.14 /  15562.14 /  259455.47, epsilon=  0.100, speed=  153.53, gear= 5, damage= 0.00
Ep:1201 step:160(893058), a_t=[s= 0.55, t= 0.945764, b= 0.000000], r_t=[r= 104.23, prog= 420.95, pen=-36.09, r_old= 104.23], Reward=  17346.92 /  17346.92 /  259455.47, epsilon=  0.100, speed=  140.50, gear= 5, damage= 0.00
Ep:1201 step:180(893078), a_t=[s=-0.15, t= 0.949206, b= 0.000000], r_t=[r= 101.01, prog= 384.61, pen=-27.19, r_old= 101.01], Reward=  18890.37 /  18890.37 /  259455.47, epsilon=  0.100, speed=  128.38, gear= 4, damage= 0.00
Ep:1201 step:200(893098), a_t=[s= 0.17, t= 0.945800, b= 0.000000], r_t=[r= 123.77, prog= 447.21, pen=-25.30, r_old= 123.77], Reward=  21304.45 /  21304.45 /  259455.47, epsilon=  0.100, speed=  149.46, gear= 5, damage= 0.00
Ep:1201 step:220(893118), a_t=[s=-0.12, t= 0.973390, b= 0.000000], r_t=[r= 146.30, prog= 510.73, pen=-23.95, r_old= 146.30], Reward=  24132.67 /  24132.67 /  259455.47, epsilon=  0.100, speed=  170.24, gear= 6, damage= 0.00
Ep:1201 step:240(893138), a_t=[s= 0.09, t= 0.940608, b= 0.000000], r_t=[r= 68.77, prog= 447.55, pen=-80.42, r_old= 68.77], Reward=  26608.39 /  26608.39 /  259455.47, epsilon=  0.100, speed=  151.77, gear= 5, damage= 0.00
Ep:1201 step:260(893158), a_t=[s= 0.07, t= 0.252363, b= 0.000000], r_t=[r= 98.22, prog= 455.42, pen=-53.59, r_old= 98.22], Reward=  28469.62 /  28469.62 /  259455.47, epsilon=  0.100, speed=  151.94, gear= 5, damage= 0.00
Ep:1201 step:280(893178), a_t=[s=-0.51, t= 0.949693, b= 0.000000], r_t=[r= 113.95, prog= 415.94, pen=-24.70, r_old= 113.95], Reward=  30516.00 /  30516.00 /  259455.47, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1201 step:300(893198), a_t=[s=-0.24, t= 0.958268, b= 0.000000], r_t=[r= 144.55, prog= 450.88, pen=-5.74, r_old= 144.55], Reward=  32887.14 /  32887.14 /  259455.47, epsilon=  0.100, speed=  150.29, gear= 5, damage= 0.00
Ep:1201 step:320(893218), a_t=[s= 0.26, t= 0.950556, b= 0.000000], r_t=[r= 136.85, prog= 506.10, pen=-31.85, r_old= 136.85], Reward=  35596.48 /  35596.48 /  259455.47, epsilon=  0.100, speed=  169.27, gear= 5, damage= 0.00
Ep:1201 step:340(893238), a_t=[s= 0.45, t= 0.951894, b= 0.000000], r_t=[r= 144.75, prog= 500.30, pen=-22.02, r_old= 144.75], Reward=  38058.92 /  38058.92 /  259455.47, epsilon=  0.100, speed=  167.07, gear= 5, damage= 0.00
Ep:1201 step:360(893258), a_t=[s=-0.13, t= 0.239687, b= 0.000000], r_t=[r= 137.39, prog= 472.64, pen=-20.16, r_old= 137.39], Reward=  40779.52 /  40779.52 /  259455.47, epsilon=  0.100, speed=  157.78, gear= 5, damage= 0.00
Ep:1201 step:380(893278), a_t=[s= 0.51, t= 0.950024, b= 0.000000], r_t=[r= 115.99, prog= 460.06, pen=-37.37, r_old= 115.99], Reward=  43556.52 /  43556.52 /  259455.47, epsilon=  0.100, speed=  156.95, gear= 5, damage= 0.00
Ep:1201 step:400(893298), a_t=[s= 0.33, t= 0.959629, b= 0.000000], r_t=[r= 104.31, prog= 427.13, pen=-38.07, r_old= 104.31], Reward=  45486.41 /  45486.41 /  259455.47, epsilon=  0.100, speed=  143.26, gear= 5, damage= 0.00
