=============================================================
 starting episode: 300/2000
### TORCS is RELAUNCHED ###
Client connected on 3107..............
Ep:300 step:460(107710), a_t=[s=-0.23, t= 1.000000, b= 0.000000], r_t=[r= 234.23, prog= 295.53, pen=-61.29, r_old= 234.23], Reward=  131634.13 /  131514.77 /  298639.53, epsilon=  0.655, speed=  101.47, gear= 3, damage= 10.00
Ep:300 step:480(107730), a_t=[s=-0.95, t= 0.060696, b= 0.000000], r_t=[r= 220.75, prog= 332.73, pen=-111.98, r_old= 220.75], Reward=  137685.83 /  137566.48 /  298639.53, epsilon=  0.655, speed=  111.75, gear= 4, damage= 10.00
Ep:300 step:500(107750), a_t=[s= 0.39, t= 0.998283, b= 0.000000], r_t=[r= 253.23, prog= 287.76, pen=-34.53, r_old= 253.23], Reward=  141613.25 /  141493.89 /  298639.53, epsilon=  0.655, speed=  96.52, gear= 3, damage= 10.00
Ep:300 step:520(107770), a_t=[s= 0.59, t= 0.117312, b= 0.000000], r_t=[r= 292.46, prog= 310.65, pen=-18.18, r_old= 292.46], Reward=  147890.01 /  147770.66 /  298639.53, epsilon=  0.655, speed=  103.65, gear= 3, damage= 10.00
Ep:300 step:540(107790), a_t=[s=-0.37, t= 0.363833, b= 0.000000], r_t=[r= 339.99, prog= 368.22, pen=-28.23, r_old= 339.99], Reward=  154327.12 /  154207.77 /  298639.53, epsilon=  0.655, speed=  122.75, gear= 4, damage= 10.00
Ep:300 step:560(107810), a_t=[s=-0.97, t= 0.000201, b= 0.000000], r_t=[r= 103.70, prog= 222.59, pen=-118.89, r_old= 103.70], Reward=  157571.88 /  157333.14 /  298639.53, epsilon=  0.655, speed=  75.12, gear= 2, damage= 80.00
Ep:300 step:580(107830), a_t=[s= 0.34, t= 0.999999, b= 0.000000], r_t=[r= 322.00, prog= 334.63, pen=-12.62, r_old= 322.00], Reward=  161321.91 /  161083.17 /  298639.53, epsilon=  0.655, speed=  111.81, gear= 3, damage= 80.00
Ep:300 step:600(107850), a_t=[s= 0.40, t= 0.999988, b= 0.000000], r_t=[r= 377.27, prog= 421.07, pen=-43.80, r_old= 377.27], Reward=  167556.87 /  167318.13 /  298639.53, epsilon=  0.655, speed=  140.37, gear= 4, damage= 80.00
Ep:300 step:620(107870), a_t=[s= 0.71, t= 0.991966, b= 0.000000], r_t=[r= 333.20, prog= 428.26, pen=-95.06, r_old= 333.20], Reward=  175004.34 /  174765.60 /  298639.53, epsilon=  0.655, speed=  142.84, gear= 5, damage= 80.00
Ep:300 step:640(107890), a_t=[s=-1.00, t= 0.000000, b= 0.000000], r_t=[r=-21.02, prog= 35.35, pen=-56.37, r_old=-21.02], Reward=  181246.71 /  181007.97 /  298639.53, epsilon=  0.655, speed=  42.27, gear= 3, damage= 80.00
META = 1 ... Running backwards
=============================================================
 starting episode: 301/2000
Waiting for server on 3107............
Count Down : 5
Client connected on 3107..............
Ep:301 step:0(107893), a_t=[s=-0.06, t= 0.513800, b= 0.000000], r_t=[r= 0.14, prog= 0.14, pen=-0.00, r_old= 0.14], Reward=  0.14 /  0.14 /  298639.53, epsilon=  0.655, speed=  0.05, gear= 1, damage= 0.00
Ep:301 step:20(107913), a_t=[s=-0.27, t= 0.676553, b= 0.000000], r_t=[r= 137.42, prog= 170.05, pen=-32.63, r_old= 137.42], Reward=  1624.51 /  1624.51 /  298639.53, epsilon=  0.655, speed=  59.96, gear= 2, damage= 0.00
Ep:301 step:40(107933), a_t=[s= 0.11, t= 0.766082, b= 0.000000], r_t=[r= 234.58, prog= 266.52, pen=-31.94, r_old= 234.58], Reward=  5031.19 /  5031.19 /  298639.53, epsilon=  0.655, speed=  89.21, gear= 3, damage= 0.00
Ep:301 step:60(107953), a_t=[s= 0.10, t= 0.359321, b= 0.000000], r_t=[r= 130.91, prog= 288.96, pen=-158.05, r_old= 130.91], Reward=  9581.57 /  9581.57 /  298639.53, epsilon=  0.655, speed=  100.21, gear= 3, damage= 0.00
Ep:301 step:80(107973), a_t=[s=-1.00, t= 0.641160, b= 0.000000], r_t=[r= 247.47, prog= 309.73, pen=-62.26, r_old= 247.47], Reward=  13530.43 /  13530.43 /  298639.53, epsilon=  0.655, speed=  106.75, gear= 3, damage= 0.00
Ep:301 step:100(107993), a_t=[s= 0.49, t= 0.309313, b= 0.000000], r_t=[r= 140.37, prog= 228.53, pen=-88.17, r_old= 140.37], Reward=  15766.26 /  15702.42 /  298639.53, epsilon=  0.655, speed=  76.60, gear= 2, damage= 239.00
Ep:301 step:120(108013), a_t=[s= 0.36, t= 0.259803, b= 0.000000], r_t=[r= 66.03, prog= 232.83, pen=-166.80, r_old=-17.00], Reward=  19164.38 /  19017.51 /  298639.53, epsilon=  0.655, speed=  80.52, gear= 3, damage= 256.00
