=============================================================
 starting episode: 0/2000
Client connected on 3105..............
Ep:1 step:380(459), a_t=[s= 0.75, t= 0.371092, b= 0.000000], r_t=[r=-0.05, prog= 0.07, pen=-0.12, r_old=-0.05], Reward=  4459.20 /  4378.25 /  4887.92, epsilon=  0.998, speed=  0.05, gear= 1, damage= 456.00
Ep:1 step:400(479), a_t=[s= 1.00, t= 0.279067, b= 0.000000], r_t=[r=-0.16, prog= 0.30, pen=-0.46, r_old=-0.16], Reward=  4457.06 /  4376.11 /  4887.92, epsilon=  0.998, speed=  0.20, gear= 1, damage= 456.00
Ep:1 step:420(499), a_t=[s= 0.80, t= 0.501027, b= 0.000000], r_t=[r=-0.05, prog= 0.11, pen=-0.16, r_old=-0.05], Reward=  4455.32 /  4374.36 /  4887.92, epsilon=  0.998, speed=  0.07, gear= 1, damage= 456.00
Ep:1 step:440(519), a_t=[s= 0.50, t= 0.606411, b= 0.000000], r_t=[r=-0.09, prog= 0.23, pen=-0.32, r_old=-0.09], Reward=  4453.39 /  4372.44 /  4887.92, epsilon=  0.998, speed=  0.14, gear= 1, damage= 456.00
Ep:1 step:460(539), a_t=[s=-0.63, t= 0.289355, b= 0.000000], r_t=[r=-0.07, prog= 0.28, pen=-0.36, r_old=-0.07], Reward=  4450.93 /  4369.98 /  4887.92, epsilon=  0.998, speed=  0.16, gear= 1, damage= 456.00
Ep:1 step:480(559), a_t=[s=-0.09, t= 0.655112, b= 0.000000], r_t=[r=-0.13, prog= 0.81, pen=-0.94, r_old=-0.13], Reward=  4449.18 /  4368.23 /  4887.92, epsilon=  0.998, speed=  0.42, gear= 1, damage= 456.00
Ep:1 step:500(579), a_t=[s= 0.99, t= 0.658014, b= 0.000000], r_t=[r=-0.05, prog= 0.36, pen=-0.40, r_old=-0.05], Reward=  4448.23 /  4367.28 /  4887.92, epsilon=  0.998, speed=  0.18, gear= 1, damage= 456.00
Ep:1 step:520(599), a_t=[s= 1.00, t= 0.290903, b= 0.000000], r_t=[r=-0.03, prog= 0.63, pen=-0.67, r_old=-0.03], Reward=  4447.11 /  4366.16 /  4887.92, epsilon=  0.998, speed=  0.30, gear= 1, damage= 456.00
Ep:1 step:540(619), a_t=[s= 0.70, t= 0.571875, b= 0.000000], r_t=[r=-0.00, prog= 0.68, pen=-0.68, r_old=-0.00], Reward=  4446.84 /  4365.88 /  4887.92, epsilon=  0.998, speed=  0.31, gear= 1, damage= 456.00
Ep:1 step:560(639), a_t=[s= 0.59, t= 0.767235, b= 0.000000], r_t=[r= 0.04, prog= 0.92, pen=-0.87, r_old= 0.04], Reward=  4447.11 /  4366.16 /  4887.92, epsilon=  0.998, speed=  0.40, gear= 1, damage= 456.00
