=============================================================
 starting episode: 1900/2000
Waiting for server on 3112............
Count Down : 5
Waiting for server on 3112............
Count Down : 4
Waiting for server on 3112............
Count Down : 3
Waiting for server on 3112............
Count Down : 2
Waiting for server on 3112............
Count Down : 1
Waiting for server on 3112............
Count Down : 0
Waiting for server on 3112............
Count Down : -1
Client connected on 3112..............
Ep:1900 step:0(789601), a_t=[s=-0.68, t= 1.000000, b= 0.000000], r_t=[r= 0.15, prog= 0.15, pen=-0.00, r_old= 0.15], Reward=  0.15 /  0.15 /  811162.36, epsilon=  0.100, speed=  0.05, gear= 1, damage= 0.00
Ep:1900 step:20(789621), a_t=[s= 0.24, t= 1.000000, b= 0.000000], r_t=[r= 227.91, prog= 274.98, pen=-47.07, r_old= 227.91], Reward=  2491.69 /  2491.69 /  811162.36, epsilon=  0.100, speed=  92.02, gear= 3, damage= 0.00
Ep:1900 step:40(789641), a_t=[s=-0.23, t= 0.999993, b= 0.000000], r_t=[r= 399.29, prog= 407.62, pen=-8.33, r_old= 399.29], Reward=  9089.54 /  9089.54 /  811162.36, epsilon=  0.100, speed=  136.07, gear= 4, damage= 0.00
Ep:1900 step:60(789661), a_t=[s= 0.13, t= 0.999993, b= 0.000000], r_t=[r= 400.25, prog= 415.20, pen=-14.95, r_old= 400.25], Reward=  16747.65 /  16747.65 /  811162.36, epsilon=  0.100, speed=  138.45, gear= 4, damage= 0.00
Ep:1900 step:80(789681), a_t=[s= 0.62, t= 1.000000, b= 0.000000], r_t=[r= 433.34, prog= 440.74, pen=-7.41, r_old= 433.34], Reward=  24972.46 /  24972.46 /  811162.36, epsilon=  0.100, speed=  146.92, gear= 5, damage= 0.00
Ep:1900 step:100(789701), a_t=[s= 0.45, t= 0.998950, b= 0.000000], r_t=[r= 480.06, prog= 509.13, pen=-29.07, r_old= 480.06], Reward=  33974.64 /  33974.64 /  811162.36, epsilon=  0.100, speed=  169.74, gear= 5, damage= 0.00
Ep:1900 step:120(789721), a_t=[s= 0.03, t= 0.995494, b= 0.000000], r_t=[r= 497.14, prog= 531.80, pen=-34.66, r_old= 497.14], Reward=  43413.03 /  43413.03 /  811162.36, epsilon=  0.100, speed=  177.30, gear= 6, damage= 0.00
Ep:1900 step:140(789741), a_t=[s= 0.98, t= 0.000000, b= 0.000000], r_t=[r= 422.35, prog= 456.70, pen=-34.36, r_old= 422.35], Reward=  53082.35 /  53082.35 /  811162.36, epsilon=  0.100, speed=  152.83, gear= 6, damage= 0.00
META = 1 ... Running backwards
=============================================================
 starting episode: 1901/2000
Waiting for server on 3112............
Count Down : 5
Client connected on 3112..............
Ep:1901 step:0(789750), a_t=[s=-0.61, t= 0.954800, b= 0.000000], r_t=[r=-0.03, prog=-0.03, pen= 0.00, r_old=-0.03], Reward= -0.03 / -0.03 /  811162.36, epsilon=  0.100, speed= -0.01, gear= 1, damage= 0.00
Ep:1901 step:20(789770), a_t=[s= 0.39, t= 0.951672, b= 0.000000], r_t=[r= 216.13, prog= 261.64, pen=-45.51, r_old= 216.13], Reward=  2381.91 /  2381.91 /  811162.36, epsilon=  0.100, speed=  87.43, gear= 3, damage= 0.00
Ep:1901 step:40(789790), a_t=[s= 1.00, t= 0.940519, b= 0.000000], r_t=[r= 370.90, prog= 373.03, pen=-2.13, r_old= 370.90], Reward=  8203.24 /  8203.24 /  811162.36, epsilon=  0.100, speed=  124.35, gear= 4, damage= 0.00
Ep:1901 step:60(789810), a_t=[s=-0.27, t= 0.936244, b= 0.000000], r_t=[r= 439.34, prog= 446.12, pen=-6.78, r_old= 439.34], Reward=  16103.66 /  16103.66 /  811162.36, epsilon=  0.100, speed=  148.71, gear= 5, damage= 0.00
Ep:1901 step:80(789830), a_t=[s= 0.35, t= 0.891097, b= 0.000000], r_t=[r= 498.13, prog= 504.04, pen=-5.90, r_old= 498.13], Reward=  25026.61 /  25026.61 /  811162.36, epsilon=  0.100, speed=  168.02, gear= 6, damage= 0.00
Ep:1901 step:100(789850), a_t=[s=-0.07, t= 0.951443, b= 0.000000], r_t=[r= 464.76, prog= 491.81, pen=-27.05, r_old= 464.76], Reward=  34370.09 /  34370.09 /  811162.36, epsilon=  0.100, speed=  163.96, gear= 5, damage= 0.00
Ep:1901 step:120(789870), a_t=[s=-0.06, t= 0.937051, b= 0.000000], r_t=[r= 490.72, prog= 542.54, pen=-51.82, r_old= 490.72], Reward=  44058.01 /  44058.01 /  811162.36, epsilon=  0.100, speed=  180.88, gear= 6, damage= 0.00
Ep:1901 step:140(789890), a_t=[s= 0.82, t= 0.045856, b= 0.000000], r_t=[r= 356.92, prog= 416.39, pen=-59.47, r_old= 356.92], Reward=  53616.22 /  53616.22 /  811162.36, epsilon=  0.100, speed=  138.80, gear= 5, damage= 0.00
Ep:1901 step:160(789910), a_t=[s= 0.24, t= 0.953955, b= 0.000000], r_t=[r= 306.66, prog= 337.53, pen=-30.86, r_old= 306.66], Reward=  57518.58 /  57384.71 /  811162.36, epsilon=  0.100, speed=  113.17, gear= 3, damage= 4.00
Ep:1901 step:180(789930), a_t=[s= 0.45, t= 0.965217, b= 0.000000], r_t=[r= 278.20, prog= 367.07, pen=-88.88, r_old= 278.20], Reward=  63078.85 /  62944.98 /  811162.36, epsilon=  0.100, speed=  122.80, gear= 4, damage= 4.00
Ep:1901 step:200(789950), a_t=[s=-0.21, t= 0.959786, b= 0.000000], r_t=[r= 432.22, prog= 433.51, pen=-1.29, r_old= 432.22], Reward=  70538.62 /  70404.75 /  811162.36, epsilon=  0.100, speed=  144.51, gear= 5, damage= 4.00
Ep:1901 step:220(789970), a_t=[s= 0.22, t= 0.945486, b= 0.000000], r_t=[r= 453.69, prog= 467.54, pen=-13.84, r_old= 453.69], Reward=  79083.23 /  78949.36 /  811162.36, epsilon=  0.100, speed=  155.91, gear= 5, damage= 4.00
Ep:1901 step:240(789990), a_t=[s=-0.26, t= 0.929938, b= 0.000000], r_t=[r= 432.70, prog= 494.81, pen=-62.11, r_old= 432.70], Reward=  88640.00 /  88506.13 /  811162.36, epsilon=  0.100, speed=  166.84, gear= 5, damage= 4.00
Ep:1901 step:260(790010), a_t=[s= 0.02, t= 0.933112, b= 0.000000], r_t=[r= 438.78, prog= 497.39, pen=-58.61, r_old= 438.78], Reward=  97503.86 /  97369.98 /  811162.36, epsilon=  0.100, speed=  166.30, gear= 5, damage= 4.00
Ep:1901 step:280(790030), a_t=[s=-0.03, t= 0.958856, b= 0.000000], r_t=[r= 342.88, prog= 413.66, pen=-70.77, r_old= 342.88], Reward=  105046.59 /  104912.71 /  811162.36, epsilon=  0.100, speed=  139.20, gear= 4, damage= 4.00
Ep:1901 step:300(790050), a_t=[s=-0.24, t= 0.933715, b= 0.000000], r_t=[r= 450.64, prog= 477.38, pen=-26.75, r_old= 450.64], Reward=  113479.45 /  113345.58 /  811162.36, epsilon=  0.100, speed=  159.13, gear= 5, damage= 4.00
Ep:1901 step:320(790070), a_t=[s=-0.07, t= 0.940703, b= 0.000000], r_t=[r= 458.16, prog= 505.35, pen=-47.20, r_old= 458.16], Reward=  122980.85 /  122846.97 /  811162.36, epsilon=  0.100, speed=  168.45, gear= 5, damage= 4.00
Ep:1901 step:340(790090), a_t=[s= 0.44, t= 0.953530, b= 0.000000], r_t=[r= 466.25, prog= 491.61, pen=-25.36, r_old= 466.25], Reward=  132065.46 /  131931.58 /  811162.36, epsilon=  0.100, speed=  163.94, gear= 5, damage= 4.00
Ep:1901 step:360(790110), a_t=[s= 0.01, t= 0.934960, b= 0.000000], r_t=[r= 464.44, prog= 506.29, pen=-41.85, r_old= 464.44], Reward=  141192.85 /  141058.98 /  811162.36, epsilon=  0.100, speed=  168.76, gear= 5, damage= 4.00
Ep:1901 step:380(790130), a_t=[s= 0.51, t= 0.066738, b= 0.000000], r_t=[r= 465.86, prog= 511.69, pen=-45.84, r_old= 465.86], Reward=  150411.45 /  150277.58 /  811162.36, epsilon=  0.100, speed=  172.29, gear= 6, damage= 4.00
Ep:1901 step:400(790150), a_t=[s= 0.34, t= 0.943698, b= 0.000000], r_t=[r= 397.11, prog= 421.70, pen=-24.59, r_old= 397.11], Reward=  157406.75 /  157272.87 /  811162.36, epsilon=  0.100, speed=  140.84, gear= 4, damage= 4.00
Ep:1901 step:420(790170), a_t=[s=-0.02, t= 0.939628, b= 0.000000], r_t=[r= 292.63, prog= 378.86, pen=-86.23, r_old= 292.63], Reward=  163375.91 /  163242.03 /  811162.36, epsilon=  0.100, speed=  126.69, gear= 4, damage= 4.00
Ep:1901 step:440(790190), a_t=[s=-0.11, t= 0.939695, b= 0.000000], r_t=[r= 398.80, prog= 460.45, pen=-61.64, r_old= 398.80], Reward=  171144.12 /  171010.24 /  811162.36, epsilon=  0.100, speed=  153.82, gear= 5, damage= 4.00
Ep:1901 step:460(790210), a_t=[s= 0.13, t= 0.942142, b= 0.000000], r_t=[r= 485.11, prog= 492.74, pen=-7.63, r_old= 485.11], Reward=  180051.75 /  179917.88 /  811162.36, epsilon=  0.100, speed=  164.26, gear= 5, damage= 4.00
Ep:1901 step:480(790230), a_t=[s= 0.48, t= 0.947985, b= 0.000000], r_t=[r= 406.27, prog= 492.07, pen=-85.79, r_old= 406.27], Reward=  189264.44 /  189130.56 /  811162.36, epsilon=  0.100, speed=  165.89, gear= 5, damage= 4.00
Ep:1901 step:500(790250), a_t=[s= 0.92, t= 0.048676, b= 0.000000], r_t=[r= 417.54, prog= 433.42, pen=-15.88, r_old= 417.54], Reward=  198160.77 /  198026.89 /  811162.36, epsilon=  0.100, speed=  144.64, gear= 5, damage= 4.00
Ep:1901 step:520(790270), a_t=[s=-0.04, t= 0.948673, b= 0.000000], r_t=[r= 387.80, prog= 430.85, pen=-43.05, r_old= 387.80], Reward=  205199.87 /  205065.99 /  811162.36, epsilon=  0.100, speed=  144.44, gear= 5, damage= 4.00
Ep:1901 step:540(790290), a_t=[s= 0.69, t= 0.943357, b= 0.000000], r_t=[r= 462.02, prog= 477.05, pen=-15.03, r_old= 462.02], Reward=  213871.94 /  213738.06 /  811162.36, epsilon=  0.100, speed=  159.27, gear= 5, damage= 4.00
Ep:1901 step:560(790310), a_t=[s= 0.84, t= 0.182264, b= 0.000000], r_t=[r= 460.46, prog= 495.74, pen=-35.29, r_old= 460.46], Reward=  223264.45 /  223130.57 /  811162.36, epsilon=  0.100, speed=  165.28, gear= 5, damage= 4.00
Ep:1901 step:580(790330), a_t=[s=-0.20, t= 0.484294, b= 0.000000], r_t=[r= 436.67, prog= 490.68, pen=-54.01, r_old= 436.67], Reward=  232623.18 /  232489.31 /  811162.36, epsilon=  0.100, speed=  165.88, gear= 5, damage= 4.00
Ep:1901 step:600(790350), a_t=[s= 0.08, t= 0.929024, b= 0.000000], r_t=[r= 473.89, prog= 504.91, pen=-31.02, r_old= 473.89], Reward=  242172.94 /  242039.07 /  811162.36, epsilon=  0.100, speed=  168.32, gear= 5, damage= 4.00
Ep:1901 step:620(790370), a_t=[s= 0.16, t= 0.137596, b= 0.000000], r_t=[r= 405.70, prog= 483.81, pen=-78.10, r_old= 405.70], Reward=  250989.32 /  250855.45 /  811162.36, epsilon=  0.100, speed=  162.25, gear= 5, damage= 4.00
Ep:1901 step:640(790390), a_t=[s= 0.12, t= 0.407576, b= 0.000000], r_t=[r= 369.55, prog= 418.94, pen=-49.38, r_old= 369.55], Reward=  258141.67 /  258007.79 /  811162.36, epsilon=  0.100, speed=  139.74, gear= 5, damage= 4.00
