=============================================================
 starting episode: 0/2000
Client connected on 3102..............
Ep:1 step:380(456), a_t=[s=-0.55, t= 0.637764, b= 0.000000], r_t=[r=-0.41, prog= 0.84, pen=-0.69, r_old=-0.41], Reward= -1123.19 / -1123.19 / -1834.21, epsilon=  0.998, speed=  0.30, gear= 1, damage= 719.00
Ep:1 step:400(476), a_t=[s=-1.00, t= 0.634072, b= 0.000000], r_t=[r=-3.39, prog= 7.53, pen=-5.90, r_old=-3.39], Reward= -1162.62 / -1162.62 / -1834.21, epsilon=  0.998, speed=  2.64, gear= 1, damage= 719.00
Ep:1 step:420(496), a_t=[s=-0.17, t= 0.540744, b= 0.000000], r_t=[r=-2.12, prog= 4.67, pen=-3.67, r_old=-2.12], Reward= -1187.31 / -1187.31 / -1834.21, epsilon=  0.998, speed=  1.64, gear= 1, damage= 719.00
Ep:1 step:440(516), a_t=[s= 1.00, t= 0.340589, b= 0.000000], r_t=[r=-0.55, prog= 1.24, pen=-0.96, r_old=-0.55], Reward= -1212.18 / -1212.18 / -1834.21, epsilon=  0.998, speed=  0.43, gear= 1, damage= 719.00
Ep:1 step:460(536), a_t=[s=-0.33, t= 0.471044, b= 0.000000], r_t=[r=-2.21, prog= 5.14, pen=-3.92, r_old=-2.21], Reward= -1245.94 / -1245.94 / -1834.21, epsilon=  0.998, speed=  1.79, gear= 1, damage= 719.00
Ep:1 step:480(556), a_t=[s= 0.12, t= 0.596882, b= 0.000000], r_t=[r=-0.94, prog= 2.39, pen=-1.74, r_old=-0.94], Reward= -1307.19 / -1307.19 / -1834.21, epsilon=  0.998, speed=  0.82, gear= 1, damage= 719.00
Ep:1 step:500(576), a_t=[s=-0.48, t= 0.550084, b= 0.000000], r_t=[r=-0.67, prog= 1.66, pen=-1.23, r_old=-0.67], Reward= -1334.95 / -1334.95 / -1834.21, epsilon=  0.998, speed=  0.57, gear= 1, damage= 719.00
Ep:1 step:520(596), a_t=[s=-0.05, t= 0.524236, b= 0.000000], r_t=[r=-1.30, prog= 3.30, pen=-2.40, r_old=-1.30], Reward= -1374.69 / -1374.69 / -1834.21, epsilon=  0.998, speed=  1.13, gear= 1, damage= 719.00
Ep:1 step:540(616), a_t=[s=-0.35, t= 0.519290, b= 0.000000], r_t=[r=-1.18, prog= 3.33, pen=-2.29, r_old=-1.18], Reward= -1457.56 / -1457.56 / -1834.21, epsilon=  0.998, speed=  1.12, gear= 1, damage= 719.00
Ep:1 step:560(636), a_t=[s=-0.16, t= 0.516976, b= 0.000000], r_t=[r=-1.92, prog= 5.53, pen=-3.76, r_old=-1.92], Reward= -1530.83 / -1530.83 / -1834.21, epsilon=  0.998, speed=  1.86, gear= 1, damage= 719.00
Ep:1 step:580(656), a_t=[s=-0.05, t= 0.326558, b= 0.000000], r_t=[r=-0.80, prog= 2.28, pen=-1.56, r_old=-0.80], Reward= -1579.03 / -1579.03 / -1834.21, epsilon=  0.998, speed=  0.77, gear= 1, damage= 719.00
Ep:1 step:600(676), a_t=[s=-0.08, t= 0.477006, b= 0.000000], r_t=[r=-1.46, prog= 4.22, pen=-2.86, r_old=-1.46], Reward= -1631.76 / -1631.76 / -1834.21, epsilon=  0.998, speed=  1.43, gear= 1, damage= 719.00
Ep:1 step:620(696), a_t=[s=-0.98, t= 0.409805, b= 0.000000], r_t=[r=-5.40, prog= 17.20, pen=-11.14, r_old=-5.40], Reward= -1724.45 / -1724.45 / -1834.21, epsilon=  0.998, speed=  5.77, gear= 1, damage= 719.00
Ep:1 step:640(716), a_t=[s=-0.66, t= 0.368855, b= 0.000000], r_t=[r=-3.55, prog= 11.67, pen=-7.44, r_old=-3.55], Reward= -1827.13 / -1827.13 / -1834.21, epsilon=  0.998, speed=  3.92, gear= 1, damage= 719.00
Ep:1 step:660(736), a_t=[s= 0.14, t= 0.505379, b= 0.000000], r_t=[r=-2.30, prog= 7.54, pen=-4.81, r_old=-2.30], Reward= -1891.32 / -1891.32 / -1834.21, epsilon=  0.998, speed=  2.54, gear= 1, damage= 719.00
Ep:1 step:680(756), a_t=[s=-0.70, t= 0.602006, b= 0.000000], r_t=[r=-1.29, prog= 4.10, pen=-2.66, r_old=-1.29], Reward= -1929.12 / -1929.12 / -1834.21, epsilon=  0.997, speed=  1.39, gear= 1, damage= 719.00
Ep:1 step:700(776), a_t=[s= 0.05, t= 0.468632, b= 0.000000], r_t=[r=-1.75, prog= 5.78, pen=-3.68, r_old=-1.75], Reward= -1981.38 / -1981.38 / -1834.21, epsilon=  0.997, speed=  1.95, gear= 1, damage= 719.00
Ep:1 step:720(796), a_t=[s= 0.52, t= 0.630086, b= 0.000000], r_t=[r=-3.05, prog= 10.94, pen=-6.69, r_old=-3.05], Reward= -2059.32 / -2059.32 / -1834.21, epsilon=  0.997, speed=  3.67, gear= 1, damage= 719.00
Ep:1 step:740(816), a_t=[s=-0.94, t= 0.356702, b= 0.000000], r_t=[r=-1.22, prog= 4.44, pen=-2.70, r_old=-1.22], Reward= -2116.20 / -2116.20 / -1834.21, epsilon=  0.997, speed=  1.49, gear= 1, damage= 719.00
Ep:1 step:760(836), a_t=[s=-1.00, t= 0.556697, b= 0.000000], r_t=[r=-3.05, prog= 10.94, pen=-6.70, r_old=-3.05], Reward= -2158.39 / -2158.39 / -1834.21, epsilon=  0.997, speed=  3.69, gear= 1, damage= 719.00
Ep:1 step:780(856), a_t=[s=-0.99, t= 0.544344, b= 0.006357], r_t=[r=-3.61, prog= 13.40, pen=-8.08, r_old=-3.61], Reward= -2206.73 / -2206.73 / -1834.21, epsilon=  0.997, speed=  4.52, gear= 1, damage= 719.00
Ep:1 step:800(876), a_t=[s=-0.47, t= 0.506861, b= 0.000000], r_t=[r=-4.58, prog= 17.19, pen=-10.31, r_old=-4.58], Reward= -2249.59 / -2249.59 / -1834.21, epsilon=  0.997, speed=  5.80, gear= 1, damage= 719.00
META = 1 ... Running backwards
Ep:1 step:820(896), a_t=[s=-1.00, t= 0.460857, b= 0.000000], r_t=[r= 0.33, prog= 0.27, pen= 0.24, r_old= 0.33], Reward= -2467.71 / -2467.71 / -1834.21, epsilon=  0.997, speed= -0.50, gear= 1, damage= 756.00
=============================================================
 starting episode: 2/2000
Client connected on 3102..............
Ep:2 step:0(897), a_t=[s=-0.87, t= 0.369072, b= 0.000000], r_t=[r=-0.10, prog=-0.31, pen= 0.00, r_old=-0.10], Reward= -0.10 / -0.10 / -1834.21, epsilon=  0.997, speed= -0.10, gear= 1, damage= 0.00
Ep:2 step:20(917), a_t=[s=-1.00, t= 0.508761, b= 0.000000], r_t=[r=-48.11, prog= 53.39, pen=-65.91, r_old=-48.11], Reward=  55.50 /  55.50 / -1834.21, epsilon=  0.997, speed=  35.42, gear= 1, damage= 0.00
META = 1 ... Running backwards
=============================================================
 starting episode: 3/2000
Client connected on 3102..............
