=============================================================
 starting episode: 400/2000
Client connected on 3102..............
Ep:400 step:0(145096), a_t=[s=-0.34, t= 0.999997, b= 0.000000], r_t=[r= 0.15, prog= 0.15, pen=-0.00, r_old= 0.15], Reward=  0.15 /  0.15 /  356601.26, epsilon=  0.527, speed=  0.05, gear= 1, damage= 0.00
Ep:400 step:20(145116), a_t=[s= 0.33, t= 0.994021, b= 0.000000], r_t=[r= 218.26, prog= 261.07, pen=-42.82, r_old= 218.26], Reward=  2440.73 /  2440.73 /  356601.26, epsilon=  0.527, speed=  87.14, gear= 3, damage= 0.00
Ep:400 step:40(145136), a_t=[s= 0.68, t= 0.999938, b= 0.000000], r_t=[r= 372.57, prog= 402.72, pen=-30.15, r_old= 372.57], Reward=  8941.33 /  8941.33 /  356601.26, epsilon=  0.527, speed=  134.33, gear= 4, damage= 0.00
Ep:400 step:60(145156), a_t=[s= 0.90, t= 0.954828, b= 0.000000], r_t=[r= 396.38, prog= 415.25, pen=-18.87, r_old= 396.38], Reward=  16872.38 /  16872.38 /  356601.26, epsilon=  0.527, speed=  138.49, gear= 5, damage= 0.00
Ep:400 step:80(145176), a_t=[s= 1.00, t= 0.000000, b= 0.000000], r_t=[r= 96.54, prog= 245.92, pen=-149.38, r_old=-2.00], Reward=  21487.80 /  21293.11 /  356601.26, epsilon=  0.527, speed=  84.23, gear= 3, damage= 147.00
Ep:400 step:100(145196), a_t=[s=-0.04, t= 0.059652, b= 0.000000], r_t=[r= 259.98, prog= 320.25, pen=-60.27, r_old= 259.98], Reward=  25470.88 /  25276.20 /  356601.26, epsilon=  0.527, speed=  106.75, gear= 3, damage= 147.00
Ep:400 step:120(145216), a_t=[s= 0.40, t= 0.139489, b= 0.000000], r_t=[r= 320.30, prog= 346.27, pen=-25.97, r_old= 320.30], Reward=  30798.61 /  30603.92 /  356601.26, epsilon=  0.527, speed=  115.72, gear= 4, damage= 147.00
Ep:400 step:140(145236), a_t=[s= 0.28, t= 0.336886, b= 0.000000], r_t=[r= 209.49, prog= 255.94, pen=-46.45, r_old= 209.49], Reward=  35559.22 /  35364.53 /  356601.26, epsilon=  0.527, speed=  85.33, gear= 3, damage= 147.00
Ep:400 step:160(145256), a_t=[s= 0.21, t= 0.567538, b= 0.000000], r_t=[r= 206.92, prog= 252.00, pen=-45.09, r_old= 206.92], Reward=  39642.99 /  39448.30 /  356601.26, epsilon=  0.527, speed=  84.04, gear= 3, damage= 147.00
Ep:400 step:180(145276), a_t=[s= 0.29, t= 0.990719, b= 0.000000], r_t=[r= 236.96, prog= 276.71, pen=-39.75, r_old= 236.96], Reward=  43925.71 /  43731.02 /  356601.26, epsilon=  0.527, speed=  92.28, gear= 3, damage= 147.00
Ep:400 step:200(145296), a_t=[s= 0.13, t= 0.999952, b= 0.000000], r_t=[r= 302.84, prog= 333.18, pen=-30.34, r_old= 302.84], Reward=  49055.79 /  48861.10 /  356601.26, epsilon=  0.527, speed=  111.07, gear= 3, damage= 147.00
Ep:400 step:220(145316), a_t=[s= 0.37, t= 0.962296, b= 0.000000], r_t=[r= 302.62, prog= 329.42, pen=-26.80, r_old= 302.62], Reward=  54304.31 /  54109.62 /  356601.26, epsilon=  0.527, speed=  109.81, gear= 4, damage= 147.00
Ep:400 step:240(145336), a_t=[s=-0.83, t= 0.000146, b= 0.000000], r_t=[r= 275.47, prog= 340.46, pen=-64.99, r_old= 275.47], Reward=  60834.08 /  60639.39 /  356601.26, epsilon=  0.527, speed=  116.30, gear= 4, damage= 147.00
Ep:400 step:260(145356), a_t=[s= 0.73, t= 0.990743, b= 0.000000], r_t=[r= 318.86, prog= 345.94, pen=-27.08, r_old= 318.86], Reward=  65846.46 /  65651.77 /  356601.26, epsilon=  0.527, speed=  115.33, gear= 4, damage= 147.00
Ep:400 step:280(145376), a_t=[s= 0.58, t= 0.999717, b= 0.000000], r_t=[r= 400.80, prog= 423.16, pen=-22.36, r_old= 400.80], Reward=  73261.75 /  73067.06 /  356601.26, epsilon=  0.527, speed=  141.06, gear= 4, damage= 147.00
Ep:400 step:300(145396), a_t=[s= 1.00, t= 0.000000, b= 0.000000], r_t=[r= 102.77, prog= 238.51, pen=-135.75, r_old= 102.77], Reward=  77010.59 /  76774.47 /  356601.26, epsilon=  0.527, speed=  80.05, gear= 3, damage= 464.00
Ep:400 step:320(145416), a_t=[s=-0.34, t= 1.000000, b= 0.000000], r_t=[r= 264.20, prog= 305.99, pen=-41.79, r_old= 264.20], Reward=  80362.91 /  80126.79 /  356601.26, epsilon=  0.527, speed=  102.58, gear= 3, damage= 464.00
Ep:400 step:340(145436), a_t=[s=-0.25, t= 0.043309, b= 0.000000], r_t=[r= 259.27, prog= 326.17, pen=-66.90, r_old= 259.27], Reward=  86217.35 /  85981.23 /  356601.26, epsilon=  0.527, speed=  109.14, gear= 4, damage= 464.00
Ep:400 step:360(145456), a_t=[s= 0.19, t= 0.275713, b= 0.000000], r_t=[r= 251.32, prog= 322.00, pen=-70.67, r_old= 251.32], Reward=  90975.26 /  90739.14 /  356601.26, epsilon=  0.527, speed=  107.41, gear= 3, damage= 464.00
Ep:400 step:380(145476), a_t=[s=-0.53, t= 0.999706, b= 0.000000], r_t=[r= 367.55, prog= 381.27, pen=-13.71, r_old= 367.55], Reward=  96761.37 /  96525.25 /  356601.26, epsilon=  0.527, speed=  127.29, gear= 4, damage= 464.00
Ep:400 step:400(145496), a_t=[s=-0.72, t= 0.988697, b= 0.000000], r_t=[r= 396.56, prog= 408.39, pen=-11.84, r_old= 396.56], Reward=  104759.83 /  104523.71 /  356601.26, epsilon=  0.527, speed=  136.19, gear= 4, damage= 464.00
Ep:400 step:420(145516), a_t=[s= 0.23, t= 0.000000, b= 0.000000], r_t=[r= 93.04, prog= 302.53, pen=-209.49, r_old= 93.04], Reward=  110865.50 /  110629.38 /  356601.26, epsilon=  0.527, speed=  111.85, gear= 4, damage= 464.00
Ep:400 step:440(145536), a_t=[s= 0.09, t= 0.638679, b= 0.000000], r_t=[r= 253.50, prog= 316.56, pen=-63.06, r_old= 253.50], Reward=  114326.63 /  113905.84 /  356601.26, epsilon=  0.527, speed=  105.57, gear= 3, damage= 621.00
Ep:400 step:460(145556), a_t=[s=-0.10, t= 0.993971, b= 0.000000], r_t=[r= 293.01, prog= 349.33, pen=-56.32, r_old= 293.01], Reward=  119537.63 /  119116.83 /  356601.26, epsilon=  0.527, speed=  117.68, gear= 4, damage= 621.00
