=============================================================
 starting episode: 1900/2000
Client connected on 3105..............
Ep:1900 step:460(1262286), a_t=[s=-0.98, t= 1.000000, b= 0.000000], r_t=[r= 330.70, prog= 418.09, pen=-87.40, r_old= 330.70], Reward=  176613.85 /  176464.88 /  834958.44, epsilon=  0.100, speed=  139.46, gear= 4, damage= 23.00
Ep:1900 step:480(1262306), a_t=[s=-0.76, t= 1.000000, b= 0.000000], r_t=[r= 262.74, prog= 359.67, pen=-96.92, r_old= 262.74], Reward=  183535.33 /  183386.37 /  834958.44, epsilon=  0.100, speed=  127.52, gear= 4, damage= 23.00
Ep:1900 step:500(1262326), a_t=[s= 0.17, t= 1.000000, b= 0.000000], r_t=[r= 332.20, prog= 359.47, pen=-27.28, r_old= 332.20], Reward=  188458.93 /  188309.97 /  834958.44, epsilon=  0.100, speed=  120.21, gear= 4, damage= 23.00
Ep:1900 step:520(1262346), a_t=[s= 0.32, t= 0.926841, b= 0.000000], r_t=[r= 409.77, prog= 417.35, pen=-7.58, r_old= 409.77], Reward=  196206.01 /  196057.05 /  834958.44, epsilon=  0.100, speed=  139.12, gear= 4, damage= 23.00
Ep:1900 step:540(1262366), a_t=[s=-0.31, t= 1.000000, b= 0.000000], r_t=[r= 399.62, prog= 424.55, pen=-24.93, r_old= 399.62], Reward=  204036.37 /  203887.41 /  834958.44, epsilon=  0.100, speed=  141.61, gear= 4, damage= 23.00
Ep:1900 step:560(1262386), a_t=[s= 0.86, t= 1.000000, b= 0.000000], r_t=[r= 380.47, prog= 412.37, pen=-31.90, r_old= 380.47], Reward=  210868.64 /  210719.68 /  834958.44, epsilon=  0.100, speed=  138.49, gear= 4, damage= 23.00
Ep:1900 step:580(1262406), a_t=[s=-0.06, t= 1.000000, b= 0.000000], r_t=[r= 408.22, prog= 418.68, pen=-10.46, r_old= 408.22], Reward=  217910.42 /  217761.45 /  834958.44, epsilon=  0.100, speed=  139.67, gear= 5, damage= 23.00
Ep:1900 step:600(1262426), a_t=[s= 0.18, t= 0.999210, b= 0.000000], r_t=[r= 479.76, prog= 499.99, pen=-20.23, r_old= 479.76], Reward=  226662.44 /  226513.48 /  834958.44, epsilon=  0.100, speed=  166.73, gear= 5, damage= 23.00
Ep:1900 step:620(1262446), a_t=[s= 0.05, t= 0.999991, b= 0.000000], r_t=[r= 460.63, prog= 509.73, pen=-49.10, r_old= 460.63], Reward=  236043.23 /  235894.26 /  834958.44, epsilon=  0.100, speed=  169.95, gear= 5, damage= 23.00
Ep:1900 step:640(1262466), a_t=[s=-0.07, t= 0.999976, b= 0.000000], r_t=[r= 457.06, prog= 510.85, pen=-53.79, r_old= 457.06], Reward=  245080.24 /  244931.28 /  834958.44, epsilon=  0.100, speed=  170.28, gear= 5, damage= 23.00
Ep:1900 step:660(1262486), a_t=[s=-0.07, t= 0.999934, b= 0.000000], r_t=[r= 373.77, prog= 415.26, pen=-41.49, r_old= 373.77], Reward=  252879.52 /  252730.56 /  834958.44, epsilon=  0.100, speed=  138.78, gear= 4, damage= 23.00
Ep:1900 step:680(1262506), a_t=[s= 0.20, t= 0.999851, b= 0.000000], r_t=[r= 335.23, prog= 372.01, pen=-36.77, r_old= 335.23], Reward=  259977.22 /  259828.26 /  834958.44, epsilon=  0.100, speed=  124.00, gear= 4, damage= 23.00
Ep:1900 step:700(1262526), a_t=[s= 0.56, t= 1.000000, b= 0.000000], r_t=[r= 420.00, prog= 461.43, pen=-41.43, r_old= 420.00], Reward=  267640.15 /  267491.19 /  834958.44, epsilon=  0.100, speed=  155.54, gear= 5, damage= 23.00
Ep:1900 step:720(1262546), a_t=[s= 0.28, t= 1.000000, b= 0.000000], r_t=[r= 429.71, prog= 476.02, pen=-46.31, r_old= 429.71], Reward=  275670.85 /  275521.88 /  834958.44, epsilon=  0.100, speed=  159.25, gear= 5, damage= 23.00
Ep:1900 step:740(1262566), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.09, prog=-2.31, pen= 2.23, r_old=-0.09], Reward=  282861.48 /  282712.51 /  834958.44, epsilon=  0.100, speed= -10.28, gear= 2, damage= 23.00
META = 1 ... Running backwards
=============================================================
 starting episode: 1901/2000
Waiting for server on 3105............
Count Down : 5
Client connected on 3105..............
Ep:1901 step:0(1262568), a_t=[s= 0.86, t= 0.950572, b= 0.000000], r_t=[r= 0.12, prog= 0.12, pen=-0.00, r_old= 0.12], Reward=  0.12 /  0.12 /  834958.44, epsilon=  0.100, speed=  0.04, gear= 1, damage= 0.00
Ep:1901 step:20(1262588), a_t=[s= 0.16, t= 0.946887, b= 0.000000], r_t=[r= 226.85, prog= 259.12, pen=-32.27, r_old= 226.85], Reward=  2335.19 /  2335.19 /  834958.44, epsilon=  0.100, speed=  87.56, gear= 3, damage= 0.00
Ep:1901 step:40(1262608), a_t=[s= 0.58, t= 0.959599, b= 0.000000], r_t=[r= 314.97, prog= 350.65, pen=-35.68, r_old= 314.97], Reward=  8199.49 /  8199.49 /  834958.44, epsilon=  0.100, speed=  116.89, gear= 4, damage= 0.00
Ep:1901 step:60(1262628), a_t=[s=-0.85, t= 0.952852, b= 0.000000], r_t=[r= 328.30, prog= 400.80, pen=-72.50, r_old= 328.30], Reward=  14537.28 /  14537.28 /  834958.44, epsilon=  0.100, speed=  135.48, gear= 4, damage= 0.00
Ep:1901 step:80(1262648), a_t=[s= 0.14, t= 0.940161, b= 0.000000], r_t=[r= 455.81, prog= 476.32, pen=-20.52, r_old= 455.81], Reward=  22272.07 /  22272.07 /  834958.44, epsilon=  0.100, speed=  158.78, gear= 5, damage= 0.00
Ep:1901 step:100(1262668), a_t=[s= 0.25, t= 0.950459, b= 0.000000], r_t=[r= 469.41, prog= 506.91, pen=-37.50, r_old= 469.41], Reward=  31532.87 /  31532.87 /  834958.44, epsilon=  0.100, speed=  169.38, gear= 5, damage= 0.00
Ep:1901 step:120(1262688), a_t=[s=-0.14, t= 0.950958, b= 0.000000], r_t=[r= 446.58, prog= 509.31, pen=-62.73, r_old= 446.58], Reward=  40931.33 /  40931.33 /  834958.44, epsilon=  0.100, speed=  169.99, gear= 5, damage= 0.00
Ep:1901 step:140(1262708), a_t=[s= 0.38, t= 0.315922, b= 0.000000], r_t=[r= 438.30, prog= 477.02, pen=-38.72, r_old= 438.30], Reward=  50527.31 /  50527.31 /  834958.44, epsilon=  0.100, speed=  161.37, gear= 5, damage= 0.00
Ep:1901 step:160(1262728), a_t=[s= 0.60, t= 0.151988, b= 0.000000], r_t=[r= 402.94, prog= 413.70, pen=-10.77, r_old= 402.94], Reward=  57987.72 /  57987.72 /  834958.44, epsilon=  0.100, speed=  138.03, gear= 5, damage= 0.00
Ep:1901 step:180(1262748), a_t=[s= 0.30, t= 0.957041, b= 0.000000], r_t=[r= 326.59, prog= 392.79, pen=-66.20, r_old= 326.59], Reward=  64796.74 /  64796.74 /  834958.44, epsilon=  0.100, speed=  131.02, gear= 4, damage= 0.00
Ep:1901 step:200(1262768), a_t=[s=-0.35, t= 0.943401, b= 0.000000], r_t=[r= 356.21, prog= 463.36, pen=-107.16, r_old= 356.21], Reward=  72337.98 /  72337.98 /  834958.44, epsilon=  0.100, speed=  154.82, gear= 5, damage= 0.00
Ep:1901 step:220(1262788), a_t=[s= 0.54, t= 0.958679, b= 0.000000], r_t=[r= 376.40, prog= 493.52, pen=-117.13, r_old= 376.40], Reward=  79498.54 /  79498.54 /  834958.44, epsilon=  0.100, speed=  164.70, gear= 5, damage= 0.00
Ep:1901 step:240(1262808), a_t=[s= 0.98, t= 0.051348, b= 0.000000], r_t=[r= 128.03, prog= 220.29, pen=-92.26, r_old= 128.03], Reward=  84002.76 /  84002.76 /  834958.44, epsilon=  0.100, speed=  76.52, gear= 2, damage= 0.00
META = 1 ... out of track
=============================================================
 starting episode: 1902/2000
### TORCS is RELAUNCHED ###
Client connected on 3105..............
Ep:1902 step:0(1262810), a_t=[s= 0.97, t= 0.944958, b= 0.000000], r_t=[r= 0.61, prog= 0.61, pen=-0.00, r_old= 0.61], Reward=  0.61 /  0.61 /  834958.44, epsilon=  0.100, speed=  0.20, gear= 1, damage= 0.00
Ep:1902 step:20(1262830), a_t=[s= 0.13, t= 0.947109, b= 0.000000], r_t=[r= 224.63, prog= 269.32, pen=-44.69, r_old= 224.63], Reward=  2384.14 /  2384.14 /  834958.44, epsilon=  0.100, speed=  90.12, gear= 3, damage= 0.00
Ep:1902 step:40(1262850), a_t=[s=-0.07, t= 0.966175, b= 0.000000], r_t=[r= 315.77, prog= 345.50, pen=-29.73, r_old= 315.77], Reward=  8428.92 /  8428.92 /  834958.44, epsilon=  0.100, speed=  115.76, gear= 4, damage= 0.00
Ep:1902 step:60(1262870), a_t=[s= 0.78, t= 0.940315, b= 0.000000], r_t=[r= 349.48, prog= 410.28, pen=-60.80, r_old= 349.48], Reward=  15054.24 /  15054.24 /  834958.44, epsilon=  0.100, speed=  137.69, gear= 5, damage= 0.00
Ep:1902 step:80(1262890), a_t=[s= 0.46, t= 0.036780, b= 0.000000], r_t=[r= 379.40, prog= 440.79, pen=-61.39, r_old= 379.40], Reward=  22313.86 /  22313.86 /  834958.44, epsilon=  0.100, speed=  146.96, gear= 5, damage= 0.00
Ep:1902 step:100(1262910), a_t=[s= 0.69, t= 0.937078, b= 0.000000], r_t=[r= 476.52, prog= 487.94, pen=-11.41, r_old= 476.52], Reward=  30500.78 /  30500.78 /  834958.44, epsilon=  0.100, speed=  162.92, gear= 5, damage= 0.00
Ep:1902 step:120(1262930), a_t=[s= 0.03, t= 0.953762, b= 0.000000], r_t=[r= 476.74, prog= 506.35, pen=-29.61, r_old= 476.74], Reward=  39763.58 /  39763.58 /  834958.44, epsilon=  0.100, speed=  169.00, gear= 5, damage= 0.00
Ep:1902 step:140(1262950), a_t=[s= 0.07, t= 0.100543, b= 0.000000], r_t=[r= 471.48, prog= 496.24, pen=-24.76, r_old= 471.48], Reward=  49150.22 /  49150.22 /  834958.44, epsilon=  0.100, speed=  165.42, gear= 5, damage= 0.00
Ep:1902 step:160(1262970), a_t=[s= 0.12, t= 0.947136, b= 0.000000], r_t=[r= 399.38, prog= 419.67, pen=-20.28, r_old= 399.38], Reward=  56299.69 /  56299.69 /  834958.44, epsilon=  0.100, speed=  140.12, gear= 4, damage= 0.00
Ep:1902 step:180(1262990), a_t=[s= 0.19, t= 0.958086, b= 0.000000], r_t=[r= 326.94, prog= 365.06, pen=-38.12, r_old= 326.94], Reward=  63209.64 /  63209.64 /  834958.44, epsilon=  0.100, speed=  121.75, gear= 4, damage= 0.00
Ep:1902 step:200(1263010), a_t=[s=-0.45, t= 0.958574, b= 0.000000], r_t=[r= 393.38, prog= 450.53, pen=-57.16, r_old= 393.38], Reward=  70763.39 /  70763.39 /  834958.44, epsilon=  0.100, speed=  150.23, gear= 5, damage= 0.00
Ep:1902 step:220(1263030), a_t=[s=-0.38, t= 0.940157, b= 0.000000], r_t=[r= 415.21, prog= 461.89, pen=-46.68, r_old= 415.21], Reward=  78245.40 /  78245.40 /  834958.44, epsilon=  0.100, speed=  153.99, gear= 5, damage= 0.00
