=============================================================
 starting episode: 1400/2000
Waiting for server on 3102............
Count Down : 5
Waiting for server on 3102............
Count Down : 4
Waiting for server on 3102............
Count Down : 3
Waiting for server on 3102............
Count Down : 2
Waiting for server on 3102............
Count Down : 1
Waiting for server on 3102............
Count Down : 0
Waiting for server on 3102............
Count Down : -1
Client connected on 3102..............
Ep:1400 step:0(1379604), a_t=[s=-1.00, t= 1.000000, b= 0.000000], r_t=[r= 0.08, prog= 0.23, pen=-0.00, r_old= 0.08], Reward=  0.08 /  0.08 /  260769.07, epsilon=  0.100, speed=  0.08, gear= 1, damage= 0.00
Ep:1400 step:20(1379624), a_t=[s= 0.20, t= 1.000000, b= 0.000000], r_t=[r= 69.24, prog= 267.45, pen=-19.91, r_old= 69.24], Reward=  697.67 /  697.67 /  260769.07, epsilon=  0.100, speed=  89.25, gear= 3, damage= 0.00
Ep:1400 step:40(1379644), a_t=[s= 0.55, t= 0.999609, b= 0.000000], r_t=[r= 111.80, prog= 385.96, pen=-16.85, r_old= 111.80], Reward=  2555.92 /  2555.92 /  260769.07, epsilon=  0.100, speed=  129.01, gear= 4, damage= 0.00
Ep:1400 step:60(1379664), a_t=[s= 0.20, t= 0.693326, b= 0.000000], r_t=[r= 131.11, prog= 427.40, pen=-11.35, r_old= 131.11], Reward=  5075.41 /  5075.41 /  260769.07, epsilon=  0.100, speed=  142.52, gear= 5, damage= 0.00
Ep:1400 step:80(1379684), a_t=[s= 0.17, t= 0.694937, b= 0.000000], r_t=[r= 132.84, prog= 506.51, pen=-36.00, r_old= 132.84], Reward=  8006.80 /  8006.80 /  260769.07, epsilon=  0.100, speed=  169.14, gear= 5, damage= 0.00
Ep:1400 step:100(1379704), a_t=[s= 0.11, t= 0.986008, b= 0.000000], r_t=[r= 144.88, prog= 503.38, pen=-22.91, r_old= 144.88], Reward=  10972.94 /  10972.94 /  260769.07, epsilon=  0.100, speed=  167.93, gear= 5, damage= 0.00
Ep:1400 step:120(1379724), a_t=[s=-0.11, t= 0.999298, b= 0.000000], r_t=[r= 156.16, prog= 506.09, pen=-12.53, r_old= 156.16], Reward=  14193.58 /  14193.58 /  260769.07, epsilon=  0.100, speed=  168.76, gear= 6, damage= 0.00
Ep:1400 step:140(1379744), a_t=[s= 0.63, t= 0.000029, b= 0.000000], r_t=[r= 129.91, prog= 457.78, pen=-22.68, r_old= 129.91], Reward=  17118.57 /  17118.57 /  260769.07, epsilon=  0.100, speed=  152.66, gear= 5, damage= 0.00
Ep:1400 step:160(1379764), a_t=[s= 0.23, t= 0.000288, b= 0.000000], r_t=[r= 116.23, prog= 391.81, pen=-14.37, r_old= 116.23], Reward=  18910.68 /  18910.68 /  260769.07, epsilon=  0.100, speed=  130.66, gear= 4, damage= 0.00
Ep:1400 step:180(1379784), a_t=[s=-0.28, t= 1.000000, b= 0.000000], r_t=[r= 129.19, prog= 415.36, pen=-9.26, r_old= 129.19], Reward=  20893.12 /  20893.12 /  260769.07, epsilon=  0.100, speed=  138.52, gear= 5, damage= 0.00
Ep:1400 step:200(1379804), a_t=[s= 0.11, t= 0.998711, b= 0.000000], r_t=[r= 147.53, prog= 465.09, pen=-7.50, r_old= 147.53], Reward=  23340.89 /  23340.89 /  260769.07, epsilon=  0.100, speed=  155.16, gear= 5, damage= 0.00
