=============================================================
 starting episode: 1600/2000
Waiting for server on 3102............
Count Down : 5
Waiting for server on 3102............
Count Down : 4
Waiting for server on 3102............
Count Down : 3
Waiting for server on 3102............
Count Down : 2
Waiting for server on 3102............
Count Down : 1
Waiting for server on 3102............
Count Down : 0
Waiting for server on 3102............
Count Down : -1
Client connected on 3102..............
Ep:1600 step:0(1620998), a_t=[s=-0.97, t= 1.000000, b= 0.000000], r_t=[r= 0.01, prog= 0.04, pen=-0.00, r_old= 0.01], Reward=  0.01 /  0.01 /  260769.07, epsilon=  0.100, speed=  0.01, gear= 1, damage= 0.00
Ep:1600 step:20(1621018), a_t=[s= 0.10, t= 1.000000, b= 0.000000], r_t=[r= 63.25, prog= 275.28, pen=-28.51, r_old= 63.25], Reward=  678.68 /  678.68 /  260769.07, epsilon=  0.100, speed=  91.85, gear= 3, damage= 0.00
Ep:1600 step:40(1621038), a_t=[s=-0.15, t= 1.000000, b= 0.000000], r_t=[r= 127.72, prog= 420.54, pen=-12.46, r_old= 127.72], Reward=  2829.57 /  2829.57 /  260769.07, epsilon=  0.100, speed=  140.42, gear= 5, damage= 0.00
Ep:1600 step:60(1621058), a_t=[s=-0.15, t= 1.000000, b= 0.000000], r_t=[r= 148.26, prog= 507.45, pen=-20.89, r_old= 148.26], Reward=  5812.18 /  5812.18 /  260769.07, epsilon=  0.100, speed=  169.33, gear= 5, damage= 0.00
Ep:1600 step:80(1621078), a_t=[s= 0.14, t= 0.705965, b= 0.000000], r_t=[r= 148.24, prog= 510.15, pen=-21.81, r_old= 148.24], Reward=  8826.83 /  8826.83 /  260769.07, epsilon=  0.100, speed=  170.21, gear= 5, damage= 0.00
Ep:1600 step:100(1621098), a_t=[s= 0.06, t= 0.999989, b= 0.000000], r_t=[r= 137.73, prog= 504.69, pen=-30.50, r_old= 137.73], Reward=  11646.53 /  11646.53 /  260769.07, epsilon=  0.100, speed=  168.44, gear= 5, damage= 0.00
Ep:1600 step:120(1621118), a_t=[s=-0.10, t= 0.999272, b= 0.000000], r_t=[r= 131.12, prog= 542.74, pen=-49.79, r_old= 131.12], Reward=  14255.43 /  14255.43 /  260769.07, epsilon=  0.100, speed=  180.94, gear= 6, damage= 0.00
Ep:1600 step:140(1621138), a_t=[s= 0.25, t= 1.000000, b= 0.000000], r_t=[r= 61.80, prog= 390.98, pen=-68.52, r_old= 61.80], Reward=  16438.48 /  16438.48 /  260769.07, epsilon=  0.100, speed=  130.54, gear= 4, damage= 0.00
Ep:1600 step:160(1621158), a_t=[s= 0.67, t= 0.495906, b= 0.000000], r_t=[r= 66.72, prog= 355.82, pen=-51.89, r_old= 66.72], Reward=  18222.45 /  18222.45 /  260769.07, epsilon=  0.100, speed=  118.64, gear= 4, damage= 0.00
Ep:1600 step:180(1621178), a_t=[s= 0.29, t= 1.000000, b= 0.000000], r_t=[r= 95.17, prog= 423.88, pen=-46.13, r_old= 95.17], Reward=  20157.51 /  20157.51 /  260769.07, epsilon=  0.100, speed=  143.16, gear= 5, damage= 0.00
Ep:1600 step:200(1621198), a_t=[s=-0.14, t= 1.000000, b= 0.000000], r_t=[r= 148.41, prog= 495.05, pen=-16.60, r_old= 148.41], Reward=  22795.01 /  22795.01 /  260769.07, epsilon=  0.100, speed=  165.11, gear= 5, damage= 0.00
Ep:1600 step:220(1621218), a_t=[s= 0.01, t= 0.999887, b= 0.000000], r_t=[r= 149.73, prog= 556.55, pen=-35.78, r_old= 149.73], Reward=  26027.03 /  26027.03 /  260769.07, epsilon=  0.100, speed=  185.55, gear= 6, damage= 0.00
Ep:1600 step:240(1621238), a_t=[s= 0.85, t= 0.000001, b= 0.000000], r_t=[r= 73.04, prog= 540.38, pen=-107.09, r_old= 73.04], Reward=  29039.28 /  29039.28 /  260769.07, epsilon=  0.100, speed=  185.28, gear= 6, damage= 0.00
Ep:1600 step:260(1621258), a_t=[s=-0.00, t= 1.000000, b= 0.000000], r_t=[r= 69.98, prog= 400.17, pen=-63.41, r_old= 69.98], Reward=  29736.91 /  29736.91 /  260769.07, epsilon=  0.100, speed=  136.21, gear= 4, damage= 0.00
Ep:1600 step:280(1621278), a_t=[s= 0.05, t= 1.000000, b= 0.000000], r_t=[r= 146.57, prog= 453.28, pen=-4.53, r_old= 146.57], Reward=  31519.61 /  31519.61 /  260769.07, epsilon=  0.100, speed=  151.12, gear= 5, damage= 0.00
Ep:1600 step:300(1621298), a_t=[s= 0.09, t= 0.999782, b= 0.000000], r_t=[r= 164.56, prog= 509.03, pen=-5.12, r_old= 164.56], Reward=  34631.70 /  34631.70 /  260769.07, epsilon=  0.100, speed=  169.69, gear= 6, damage= 0.00
