=============================================================
 starting episode: 0/2000
Client connected on 3102..............
Ep:2 step:200(451), a_t=[s=-0.13, t= 0.673509, b= 0.000000], r_t=[r=-0.22, prog= 0.04, pen=-0.24, r_old=-0.22], Reward= -143.20 / -143.20 / -29.69, epsilon=  0.998, speed=  0.10, gear= 1, damage= 120.00
Ep:2 step:220(471), a_t=[s= 0.11, t= 0.352730, b= 0.000000], r_t=[r= 0.02, prog=-0.02, pen= 0.03, r_old= 0.02], Reward= -145.95 / -145.95 / -29.69, epsilon=  0.998, speed= -0.05, gear= 1, damage= 120.00
Ep:2 step:240(491), a_t=[s= 1.00, t= 0.434852, b= 0.000000], r_t=[r= 0.02, prog=-0.02, pen= 0.02, r_old= 0.02], Reward= -148.86 / -148.86 / -29.69, epsilon=  0.998, speed= -0.05, gear= 1, damage= 120.00
Ep:2 step:260(511), a_t=[s=-1.00, t= 0.521690, b= 0.000000], r_t=[r= 0.01, prog=-0.01, pen= 0.01, r_old= 0.01], Reward= -150.96 / -150.96 / -29.69, epsilon=  0.998, speed= -0.02, gear= 1, damage= 120.00
Ep:2 step:280(531), a_t=[s=-0.54, t= 0.456877, b= 0.000000], r_t=[r= 0.01, prog=-0.01, pen= 0.01, r_old= 0.01], Reward= -154.11 / -154.11 / -29.69, epsilon=  0.998, speed= -0.02, gear= 1, damage= 120.00
Ep:2 step:300(551), a_t=[s=-0.61, t= 0.533773, b= 0.000000], r_t=[r=-0.35, prog= 0.07, pen=-0.37, r_old=-0.35], Reward= -156.93 / -156.93 / -29.69, epsilon=  0.998, speed=  0.15, gear= 1, damage= 120.00
Ep:2 step:320(571), a_t=[s=-0.72, t= 0.448554, b= 0.000000], r_t=[r= 0.02, prog=-0.03, pen= 0.03, r_old= 0.02], Reward= -159.10 / -159.10 / -29.69, epsilon=  0.998, speed= -0.05, gear= 1, damage= 120.00
Ep:2 step:340(591), a_t=[s= 0.62, t= 0.270956, b= 0.000000], r_t=[r=-0.27, prog= 0.06, pen=-0.28, r_old=-0.27], Reward= -161.63 / -161.63 / -29.69, epsilon=  0.998, speed=  0.11, gear= 1, damage= 120.00
Ep:2 step:360(611), a_t=[s=-0.32, t= 0.419353, b= 0.000000], r_t=[r=-0.02, prog= 0.00, pen=-0.02, r_old=-0.02], Reward= -164.02 / -164.02 / -29.69, epsilon=  0.998, speed=  0.01, gear= 1, damage= 120.00
Ep:2 step:380(631), a_t=[s= 0.95, t= 0.412055, b= 0.000000], r_t=[r=-0.22, prog= 0.04, pen=-0.23, r_old=-0.22], Reward= -165.99 / -165.99 / -29.69, epsilon=  0.998, speed=  0.09, gear= 1, damage= 120.00
Ep:2 step:400(651), a_t=[s=-0.84, t= 0.507061, b= 0.000000], r_t=[r=-0.26, prog= 0.05, pen=-0.27, r_old=-0.26], Reward= -168.68 / -168.68 / -29.69, epsilon=  0.998, speed=  0.11, gear= 1, damage= 120.00
Ep:2 step:420(671), a_t=[s=-0.98, t= 0.467869, b= 0.000000], r_t=[r=-0.36, prog= 0.06, pen=-0.39, r_old=-0.36], Reward= -171.51 / -171.51 / -29.69, epsilon=  0.998, speed=  0.16, gear= 1, damage= 120.00
