=============================================================
 starting episode: 400/2000
Waiting for server on 3103............
Count Down : 5
Waiting for server on 3103............
Count Down : 4
Waiting for server on 3103............
Count Down : 3
Waiting for server on 3103............
Count Down : 2
Waiting for server on 3103............
Count Down : 1
Waiting for server on 3103............
Count Down : 0
Waiting for server on 3103............
Count Down : -1
Waiting for server on 3103............
Count Down : 4
Client connected on 3103..............
Ep:400 step:440(118495), a_t=[s=-0.00, t= 0.029048, b= 0.000000], r_t=[r= 3.01, prog= 3.37, pen=-0.36, r_old= 3.01], Reward=  927.11 /  927.11 /  360728.74, epsilon=  0.620, speed=  1.12, gear= 1, damage= 0.00
Ep:400 step:460(118515), a_t=[s=-0.05, t= 0.049438, b= 0.000000], r_t=[r= 3.42, prog= 3.85, pen=-0.42, r_old= 3.42], Reward=  986.16 /  986.16 /  360728.74, epsilon=  0.620, speed=  1.28, gear= 1, damage= 0.00
Ep:400 step:480(118535), a_t=[s= 0.14, t= 0.013202, b= 0.000000], r_t=[r= 4.22, prog= 4.75, pen=-0.53, r_old= 4.22], Reward=  1060.66 /  1060.66 /  360728.74, epsilon=  0.620, speed=  1.58, gear= 1, damage= 0.00
Ep:400 step:500(118555), a_t=[s= 0.57, t= 0.005078, b= 0.000000], r_t=[r= 4.77, prog= 5.44, pen=-0.67, r_old= 4.77], Reward=  1147.13 /  1147.13 /  360728.74, epsilon=  0.620, speed=  1.81, gear= 1, damage= 0.00
Ep:400 step:520(118575), a_t=[s=-0.01, t= 0.079212, b= 0.000000], r_t=[r= 6.67, prog= 7.64, pen=-0.97, r_old= 6.67], Reward=  1265.82 /  1265.82 /  360728.74, epsilon=  0.620, speed=  2.55, gear= 1, damage= 0.00
Ep:400 step:540(118595), a_t=[s= 0.01, t= 0.027998, b= 0.000000], r_t=[r= 7.45, prog= 8.54, pen=-1.09, r_old= 7.45], Reward=  1406.36 /  1406.36 /  360728.74, epsilon=  0.620, speed=  2.85, gear= 1, damage= 0.00
Ep:400 step:560(118615), a_t=[s= 0.09, t= 0.017577, b= 0.000000], r_t=[r= 6.74, prog= 7.76, pen=-1.02, r_old= 6.74], Reward=  1543.40 /  1543.40 /  360728.74, epsilon=  0.620, speed=  2.59, gear= 1, damage= 0.00
Ep:400 step:580(118635), a_t=[s= 0.00, t= 0.028274, b= 0.000000], r_t=[r= 5.74, prog= 6.67, pen=-0.93, r_old= 5.74], Reward=  1666.73 /  1666.73 /  360728.74, epsilon=  0.620, speed=  2.22, gear= 1, damage= 0.00
Ep:400 step:600(118655), a_t=[s= 0.29, t= 0.008661, b= 0.000000], r_t=[r= 4.78, prog= 5.53, pen=-0.75, r_old= 4.78], Reward=  1768.59 /  1768.59 /  360728.74, epsilon=  0.620, speed=  1.84, gear= 1, damage= 0.00
Ep:400 step:620(118675), a_t=[s=-0.03, t= 0.053288, b= 0.000000], r_t=[r= 5.05, prog= 5.86, pen=-0.81, r_old= 5.05], Reward=  1861.80 /  1861.80 /  360728.74, epsilon=  0.620, speed=  1.95, gear= 1, damage= 0.00
Ep:400 step:640(118695), a_t=[s=-0.16, t= 0.059293, b= 0.000000], r_t=[r= 6.49, prog= 7.58, pen=-1.09, r_old= 6.49], Reward=  1970.40 /  1970.40 /  360728.74, epsilon=  0.620, speed=  2.53, gear= 1, damage= 0.00
Ep:400 step:660(118715), a_t=[s= 0.50, t= 0.004486, b= 0.000000], r_t=[r= 6.84, prog= 7.99, pen=-1.15, r_old= 6.84], Reward=  2099.99 /  2099.99 /  360728.74, epsilon=  0.620, speed=  2.66, gear= 1, damage= 0.00
Ep:400 step:680(118735), a_t=[s=-0.06, t= 0.037220, b= 0.000000], r_t=[r= 7.07, prog= 8.28, pen=-1.21, r_old= 7.07], Reward=  2241.97 /  2241.97 /  360728.74, epsilon=  0.620, speed=  2.76, gear= 1, damage= 0.00
Ep:400 step:700(118755), a_t=[s= 0.12, t= 0.010545, b= 0.000000], r_t=[r= 6.11, prog= 7.19, pen=-1.08, r_old= 6.11], Reward=  2370.71 /  2370.71 /  360728.74, epsilon=  0.620, speed=  2.40, gear= 1, damage= 0.00
Ep:400 step:720(118775), a_t=[s=-0.02, t= 0.047606, b= 0.000000], r_t=[r= 5.69, prog= 6.69, pen=-1.00, r_old= 5.69], Reward=  2481.07 /  2481.07 /  360728.74, epsilon=  0.620, speed=  2.23, gear= 1, damage= 0.00
Ep:400 step:740(118795), a_t=[s= 0.50, t= 0.005834, b= 0.000000], r_t=[r= 4.04, prog= 4.73, pen=-0.69, r_old= 4.04], Reward=  2576.24 /  2576.24 /  360728.74, epsilon=  0.620, speed=  1.58, gear= 1, damage= 0.00
Ep:400 step:760(118815), a_t=[s= 0.17, t= 0.029836, b= 0.000000], r_t=[r= 3.69, prog= 4.37, pen=-0.68, r_old= 3.69], Reward=  2655.79 /  2655.79 /  360728.74, epsilon=  0.620, speed=  1.46, gear= 1, damage= 0.00
Ep:400 step:780(118835), a_t=[s= 0.10, t= 0.004611, b= 0.000000], r_t=[r= 9.59, prog= 11.36, pen=-1.77, r_old= 9.59], Reward=  2813.36 /  2813.36 /  360728.74, epsilon=  0.620, speed=  3.79, gear= 1, damage= 0.00
Ep:400 step:800(118855), a_t=[s= 0.21, t= 0.005834, b= 0.000000], r_t=[r= 6.20, prog= 7.33, pen=-1.13, r_old= 6.20], Reward=  2969.80 /  2969.80 /  360728.74, epsilon=  0.620, speed=  2.44, gear= 1, damage= 0.00
Ep:400 step:820(118875), a_t=[s=-0.96, t= 0.798183, b= 0.000000], r_t=[r= 15.96, prog= 18.97, pen=-3.01, r_old= 15.96], Reward=  3165.19 /  3165.19 /  360728.74, epsilon=  0.620, speed=  6.32, gear= 1, damage= 0.00
Ep:400 step:840(118895), a_t=[s=-0.49, t= 0.045275, b= 0.000000], r_t=[r= 24.18, prog= 29.22, pen=-5.05, r_old= 24.18], Reward=  3591.41 /  3591.41 /  360728.74, epsilon=  0.620, speed=  9.75, gear= 1, damage= 0.00
Ep:400 step:860(118915), a_t=[s= 0.06, t= 0.000897, b= 0.000000], r_t=[r= 19.13, prog= 23.25, pen=-4.12, r_old= 19.13], Reward=  4021.81 /  4021.81 /  360728.74, epsilon=  0.620, speed=  7.80, gear= 1, damage= 0.00
