=============================================================
 starting episode: 100/2000
Client connected on 3104..............
Ep:100 step:480(40770), a_t=[s= 0.04, t= 0.044883, b= 1.000000], r_t=[r= 0.09, prog= 0.10, pen=-0.01, r_old= 0.09], Reward= -0.69 / -0.69 /  89455.67, epsilon=  0.892, speed=  0.03, gear= 1, damage= 0.00
Ep:100 step:500(40790), a_t=[s= 0.04, t= 0.043815, b= 1.000000], r_t=[r= 0.12, prog= 0.12, pen=-0.01, r_old= 0.12], Reward= -2.81 / -2.81 /  89455.67, epsilon=  0.892, speed=  0.04, gear= 1, damage= 0.00
Ep:100 step:520(40810), a_t=[s= 0.04, t= 0.042971, b= 1.000000], r_t=[r=-0.10, prog=-0.10, pen=-0.00, r_old=-0.10], Reward= -2.33 / -2.33 /  89455.67, epsilon=  0.892, speed= -0.03, gear= 1, damage= 0.00
Ep:100 step:540(40830), a_t=[s= 0.04, t= 0.042162, b= 1.000000], r_t=[r= 0.11, prog= 0.12, pen=-0.01, r_old= 0.11], Reward= -2.86 / -2.86 /  89455.67, epsilon=  0.892, speed=  0.04, gear= 1, damage= 0.00
Ep:100 step:560(40850), a_t=[s= 0.03, t= 0.041613, b= 1.000000], r_t=[r=-0.19, prog=-0.19, pen=-0.00, r_old=-0.19], Reward= -3.25 / -3.25 /  89455.67, epsilon=  0.892, speed= -0.06, gear= 1, damage= 0.00
Ep:100 step:580(40870), a_t=[s= 0.03, t= 0.040738, b= 1.000000], r_t=[r=-0.06, prog=-0.06, pen=-0.00, r_old=-0.06], Reward= -3.50 / -3.50 /  89455.67, epsilon=  0.892, speed= -0.02, gear= 1, damage= 0.00
Ep:100 step:600(40890), a_t=[s= 0.03, t= 0.039864, b= 1.000000], r_t=[r= 0.19, prog= 0.20, pen=-0.01, r_old= 0.19], Reward= -3.59 / -3.59 /  89455.67, epsilon=  0.892, speed=  0.07, gear= 1, damage= 0.00
Ep:100 step:620(40910), a_t=[s= 0.03, t= 0.039154, b= 1.000000], r_t=[r= 0.25, prog= 0.27, pen=-0.02, r_old= 0.25], Reward= -4.69 / -4.69 /  89455.67, epsilon=  0.892, speed=  0.09, gear= 1, damage= 0.00
Ep:100 step:640(40930), a_t=[s= 0.03, t= 0.038491, b= 1.000000], r_t=[r=-0.11, prog=-0.11, pen=-0.00, r_old=-0.11], Reward= -5.38 / -5.38 /  89455.67, epsilon=  0.892, speed= -0.04, gear= 1, damage= 0.00
Ep:100 step:660(40950), a_t=[s= 0.03, t= 0.036963, b= 1.000000], r_t=[r= 0.10, prog= 0.11, pen=-0.01, r_old= 0.10], Reward= -4.57 / -4.57 /  89455.67, epsilon=  0.892, speed=  0.04, gear= 1, damage= 0.00
Ep:100 step:680(40970), a_t=[s= 0.03, t= 0.037246, b= 1.000000], r_t=[r= 0.01, prog= 0.01, pen=-0.00, r_old= 0.01], Reward= -5.02 / -5.02 /  89455.67, epsilon=  0.892, speed=  0.00, gear= 1, damage= 0.00
Ep:100 step:700(40990), a_t=[s= 0.03, t= 0.035938, b= 1.000000], r_t=[r= 0.31, prog= 0.34, pen=-0.03, r_old= 0.31], Reward= -4.21 / -4.21 /  89455.67, epsilon=  0.892, speed=  0.11, gear= 1, damage= 0.00
Ep:100 step:720(41010), a_t=[s= 0.03, t= 0.035549, b= 1.000000], r_t=[r=-0.31, prog=-0.30, pen=-0.00, r_old=-0.31], Reward= -4.84 / -4.84 /  89455.67, epsilon=  0.892, speed= -0.10, gear= 1, damage= 0.00
Ep:100 step:740(41030), a_t=[s= 0.03, t= 0.034608, b= 1.000000], r_t=[r= 0.01, prog= 0.01, pen=-0.00, r_old= 0.01], Reward= -5.63 / -5.63 /  89455.67, epsilon=  0.892, speed=  0.00, gear= 1, damage= 0.00
Ep:100 step:760(41050), a_t=[s= 0.03, t= 0.034204, b= 1.000000], r_t=[r= 0.20, prog= 0.23, pen=-0.02, r_old= 0.20], Reward= -6.72 / -6.72 /  89455.67, epsilon=  0.892, speed=  0.08, gear= 1, damage= 0.00
Ep:100 step:780(41070), a_t=[s= 0.04, t= 0.034287, b= 1.000000], r_t=[r=-0.34, prog=-0.33, pen=-0.00, r_old=-0.34], Reward= -6.32 / -6.32 /  89455.67, epsilon=  0.892, speed= -0.11, gear= 1, damage= 0.00
Ep:100 step:800(41090), a_t=[s= 0.04, t= 0.033956, b= 1.000000], r_t=[r=-0.37, prog=-0.37, pen=-0.00, r_old=-0.37], Reward= -6.96 / -6.96 /  89455.67, epsilon=  0.892, speed= -0.13, gear= 1, damage= 0.00
Ep:100 step:820(41110), a_t=[s= 0.04, t= 0.033551, b= 1.000000], r_t=[r=-0.21, prog=-0.21, pen=-0.00, r_old=-0.21], Reward= -7.92 / -7.92 /  89455.67, epsilon=  0.892, speed= -0.07, gear= 1, damage= 0.00
Ep:100 step:840(41130), a_t=[s= 0.04, t= 0.033259, b= 1.000000], r_t=[r=-0.07, prog=-0.07, pen=-0.00, r_old=-0.07], Reward= -7.10 / -7.10 /  89455.67, epsilon=  0.892, speed= -0.02, gear= 1, damage= 0.00
Ep:100 step:860(41150), a_t=[s= 0.04, t= 0.032045, b= 1.000000], r_t=[r=-0.01, prog=-0.01, pen=-0.00, r_old=-0.01], Reward= -8.59 / -8.59 /  89455.67, epsilon=  0.892, speed= -0.00, gear= 1, damage= 0.00
Ep:100 step:880(41170), a_t=[s= 0.04, t= 0.031712, b= 1.000000], r_t=[r=-0.02, prog=-0.02, pen=-0.00, r_old=-0.02], Reward= -8.22 / -8.22 /  89455.67, epsilon=  0.892, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:900(41190), a_t=[s= 0.04, t= 0.031272, b= 1.000000], r_t=[r=-0.18, prog=-0.18, pen=-0.00, r_old=-0.18], Reward= -6.75 / -6.75 /  89455.67, epsilon=  0.892, speed= -0.06, gear= 1, damage= 0.00
Ep:100 step:920(41210), a_t=[s= 0.05, t= 0.031364, b= 1.000000], r_t=[r=-0.10, prog=-0.10, pen=-0.00, r_old=-0.10], Reward= -9.53 / -9.53 /  89455.67, epsilon=  0.892, speed= -0.03, gear= 1, damage= 0.00
Ep:100 step:940(41230), a_t=[s= 0.05, t= 0.030954, b= 1.000000], r_t=[r=-0.10, prog=-0.10, pen=-0.00, r_old=-0.10], Reward= -10.42 / -10.42 /  89455.67, epsilon=  0.892, speed= -0.03, gear= 1, damage= 0.00
Ep:100 step:960(41250), a_t=[s= 0.05, t= 0.030343, b= 1.000000], r_t=[r= 0.01, prog= 0.01, pen=-0.00, r_old= 0.01], Reward= -11.07 / -11.07 /  89455.67, epsilon=  0.892, speed=  0.00, gear= 1, damage= 0.00
Ep:100 step:980(41270), a_t=[s= 0.05, t= 0.029300, b= 1.000000], r_t=[r=-0.08, prog=-0.08, pen=-0.00, r_old=-0.08], Reward= -11.08 / -11.08 /  89455.67, epsilon=  0.892, speed= -0.03, gear= 1, damage= 0.00
Ep:100 step:1000(41290), a_t=[s= 0.05, t= 0.028859, b= 1.000000], r_t=[r= 0.02, prog= 0.02, pen=-0.00, r_old= 0.02], Reward= -12.79 / -12.79 /  89455.67, epsilon=  0.892, speed=  0.01, gear= 1, damage= 0.00
Ep:100 step:1020(41310), a_t=[s= 0.06, t= 0.029094, b= 1.000000], r_t=[r= 0.18, prog= 0.20, pen=-0.03, r_old= 0.18], Reward= -13.64 / -13.64 /  89455.67, epsilon=  0.892, speed=  0.07, gear= 1, damage= 0.00
