=============================================================
 starting episode: 500/2000
Waiting for server on 3102............
Count Down : 5
Client connected on 3102..............
Ep:500 step:460(155033), a_t=[s=-0.95, t= 0.000002, b= 0.000000], r_t=[r=-0.50, prog=-0.57, pen= 0.06, r_old=-0.50], Reward=  358.07 /  358.07 /  287635.09, epsilon=  0.626, speed= -0.19, gear= 1, damage= 0.00
Ep:500 step:480(155053), a_t=[s=-0.97, t= 0.000004, b= 0.000000], r_t=[r= 0.02, prog= 0.03, pen=-0.01, r_old= 0.02], Reward=  354.73 /  354.73 /  287635.09, epsilon=  0.626, speed=  0.01, gear= 1, damage= 0.00
Ep:500 step:500(155073), a_t=[s=-0.95, t= 0.000002, b= 0.000000], r_t=[r=-0.04, prog=-0.05, pen= 0.01, r_old=-0.04], Reward=  347.86 /  347.86 /  287635.09, epsilon=  0.626, speed= -0.02, gear= 1, damage= 0.00
Ep:500 step:520(155093), a_t=[s=-0.96, t= 0.000002, b= 0.000000], r_t=[r=-0.38, prog=-0.44, pen= 0.05, r_old=-0.38], Reward=  340.52 /  340.52 /  287635.09, epsilon=  0.626, speed= -0.15, gear= 1, damage= 0.00
Ep:500 step:540(155113), a_t=[s=-0.97, t= 0.000004, b= 0.000000], r_t=[r=-0.35, prog=-0.40, pen= 0.05, r_old=-0.35], Reward=  334.36 /  334.36 /  287635.09, epsilon=  0.626, speed= -0.13, gear= 1, damage= 0.00
Ep:500 step:560(155133), a_t=[s=-0.97, t= 0.000002, b= 0.000000], r_t=[r=-0.09, prog=-0.11, pen= 0.01, r_old=-0.09], Reward=  328.31 /  328.31 /  287635.09, epsilon=  0.626, speed= -0.04, gear= 1, damage= 0.00
Ep:500 step:580(155153), a_t=[s=-0.98, t= 0.000004, b= 0.000000], r_t=[r=-0.40, prog=-0.47, pen= 0.06, r_old=-0.40], Reward=  321.95 /  321.95 /  287635.09, epsilon=  0.626, speed= -0.16, gear= 1, damage= 0.00
Ep:500 step:600(155173), a_t=[s=-0.98, t= 0.000004, b= 0.000000], r_t=[r=-0.31, prog=-0.36, pen= 0.05, r_old=-0.31], Reward=  314.15 /  314.15 /  287635.09, epsilon=  0.626, speed= -0.12, gear= 1, damage= 0.00
Ep:500 step:620(155193), a_t=[s=-0.98, t= 0.000003, b= 0.000000], r_t=[r=-0.28, prog=-0.33, pen= 0.05, r_old=-0.28], Reward=  309.15 /  309.15 /  287635.09, epsilon=  0.626, speed= -0.11, gear= 1, damage= 0.00
Ep:500 step:640(155213), a_t=[s=-0.97, t= 0.000001, b= 0.000000], r_t=[r=-0.10, prog=-0.12, pen= 0.02, r_old=-0.10], Reward=  302.68 /  302.68 /  287635.09, epsilon=  0.626, speed= -0.04, gear= 1, damage= 0.00
Ep:500 step:660(155233), a_t=[s=-0.97, t= 0.000001, b= 0.000000], r_t=[r=-0.07, prog=-0.09, pen= 0.01, r_old=-0.07], Reward=  295.94 /  295.94 /  287635.09, epsilon=  0.626, speed= -0.03, gear= 1, damage= 0.00
Ep:500 step:680(155253), a_t=[s=-0.98, t= 0.000001, b= 0.000000], r_t=[r=-0.11, prog=-0.12, pen= 0.02, r_old=-0.11], Reward=  290.80 /  290.80 /  287635.09, epsilon=  0.626, speed= -0.04, gear= 1, damage= 0.00
Ep:500 step:700(155273), a_t=[s=-0.97, t= 0.000001, b= 0.000000], r_t=[r=-0.30, prog=-0.35, pen= 0.06, r_old=-0.30], Reward=  285.23 /  285.23 /  287635.09, epsilon=  0.626, speed= -0.12, gear= 1, damage= 0.00
