=============================================================
 starting episode: 300/2000
### TORCS is RELAUNCHED ###
Client connected on 3105..............
Ep:300 step:0(66069), a_t=[s= 0.31, t= 0.999990, b= 0.000000], r_t=[r= 0.11, prog= 0.11, pen=-0.00, r_old= 0.11], Reward=  0.11 /  0.11 /  114067.62, epsilon=  0.790, speed=  0.04, gear= 1, damage= 0.00
Ep:300 step:20(66089), a_t=[s= 0.13, t= 0.146321, b= 0.000000], r_t=[r= 133.72, prog= 145.41, pen=-11.69, r_old= 133.72], Reward=  2010.73 /  2010.73 /  114067.62, epsilon=  0.790, speed=  48.47, gear= 1, damage= 0.00
Ep:300 step:40(66109), a_t=[s= 0.45, t= 0.156008, b= 0.000000], r_t=[r= 160.91, prog= 171.73, pen=-10.82, r_old= 160.91], Reward=  4936.27 /  4936.27 /  114067.62, epsilon=  0.790, speed=  57.59, gear= 2, damage= 0.00
Ep:300 step:60(66129), a_t=[s= 0.02, t= 0.085265, b= 0.000000], r_t=[r= 130.84, prog= 151.93, pen=-21.09, r_old= 130.84], Reward=  7794.09 /  7794.09 /  114067.62, epsilon=  0.790, speed=  50.64, gear= 2, damage= 0.00
Ep:300 step:80(66149), a_t=[s=-0.11, t= 0.196055, b= 0.000000], r_t=[r= 123.21, prog= 140.75, pen=-17.54, r_old= 123.21], Reward=  10287.36 /  10287.36 /  114067.62, epsilon=  0.790, speed=  46.92, gear= 1, damage= 0.00
Ep:300 step:100(66169), a_t=[s=-0.14, t= 0.187640, b= 0.000000], r_t=[r= 123.17, prog= 140.14, pen=-16.96, r_old= 123.17], Reward=  12745.36 /  12745.36 /  114067.62, epsilon=  0.790, speed=  46.72, gear= 1, damage= 0.00
Ep:300 step:120(66189), a_t=[s=-0.05, t= 0.149668, b= 0.000000], r_t=[r= 123.94, prog= 139.89, pen=-15.96, r_old= 123.94], Reward=  15190.56 /  15190.56 /  114067.62, epsilon=  0.790, speed=  46.63, gear= 1, damage= 0.00
Ep:300 step:140(66209), a_t=[s=-0.08, t= 0.147734, b= 0.000000], r_t=[r= 129.79, prog= 138.98, pen=-9.19, r_old= 129.79], Reward=  17724.57 /  17724.57 /  114067.62, epsilon=  0.790, speed=  46.33, gear= 1, damage= 0.00
Ep:300 step:160(66229), a_t=[s=-0.01, t= 0.142441, b= 0.000000], r_t=[r= 135.99, prog= 138.09, pen=-2.11, r_old= 135.99], Reward=  20402.52 /  20402.52 /  114067.62, epsilon=  0.790, speed=  46.04, gear= 1, damage= 0.00
Ep:300 step:180(66249), a_t=[s= 0.13, t= 0.236031, b= 0.000000], r_t=[r= 150.35, prog= 163.77, pen=-13.42, r_old= 150.35], Reward=  23170.45 /  23170.45 /  114067.62, epsilon=  0.790, speed=  54.59, gear= 2, damage= 0.00
Ep:300 step:200(66269), a_t=[s= 0.04, t= 0.233990, b= 0.000000], r_t=[r= 149.58, prog= 158.28, pen=-8.70, r_old= 149.58], Reward=  26141.18 /  26141.18 /  114067.62, epsilon=  0.790, speed=  52.76, gear= 2, damage= 0.00
Ep:300 step:220(66289), a_t=[s= 0.08, t= 0.127104, b= 0.000000], r_t=[r= 150.97, prog= 161.97, pen=-11.00, r_old= 150.97], Reward=  29161.12 /  29161.12 /  114067.62, epsilon=  0.790, speed=  53.99, gear= 2, damage= 0.00
Ep:300 step:240(66309), a_t=[s= 0.29, t= 0.085305, b= 0.000000], r_t=[r= 157.78, prog= 168.71, pen=-10.93, r_old= 157.78], Reward=  32290.14 /  32290.14 /  114067.62, epsilon=  0.790, speed=  56.29, gear= 2, damage= 0.00
Ep:300 step:260(66329), a_t=[s=-0.28, t= 0.179732, b= 0.000000], r_t=[r= 149.53, prog= 155.62, pen=-6.09, r_old= 149.53], Reward=  35298.43 /  35298.43 /  114067.62, epsilon=  0.790, speed=  51.89, gear= 2, damage= 0.00
Ep:300 step:280(66349), a_t=[s=-0.05, t= 0.125598, b= 0.000000], r_t=[r= 141.68, prog= 151.29, pen=-9.62, r_old= 141.68], Reward=  38159.42 /  38159.42 /  114067.62, epsilon=  0.790, speed=  50.43, gear= 2, damage= 0.00
Ep:300 step:300(66369), a_t=[s=-0.04, t= 0.130847, b= 0.000000], r_t=[r= 141.85, prog= 151.36, pen=-9.51, r_old= 141.85], Reward=  40992.71 /  40992.71 /  114067.62, epsilon=  0.790, speed=  50.45, gear= 2, damage= 0.00
