=============================================================
 starting episode: 1000/2000
Client connected on 3105..............
Ep:1000 step:460(387354), a_t=[s= 0.06, t= 0.726863, b= 0.000000], r_t=[r= 425.75, prog= 451.26, pen=-25.51, r_old= 425.75], Reward=  171901.51 /  171901.51 /  762017.60, epsilon=  0.100, speed=  150.46, gear= 5, damage= 0.00
Ep:1000 step:480(387374), a_t=[s= 0.23, t= 0.736801, b= 0.000000], r_t=[r= 429.96, prog= 449.18, pen=-19.22, r_old= 429.96], Reward=  180479.02 /  180479.02 /  762017.60, epsilon=  0.100, speed=  149.86, gear= 5, damage= 0.00
Ep:1000 step:500(387394), a_t=[s=-0.19, t= 0.000029, b= 0.000000], r_t=[r= 402.86, prog= 467.32, pen=-64.46, r_old= 402.86], Reward=  188991.03 /  188991.03 /  762017.60, epsilon=  0.100, speed=  156.29, gear= 5, damage= 0.00
META = 1 ... Running backwards
=============================================================
 starting episode: 1001/2000
Waiting for server on 3105............
Count Down : 5
Client connected on 3105..............
Ep:1001 step:0(387409), a_t=[s=-0.04, t= 0.963422, b= 0.000000], r_t=[r= 0.60, prog= 0.61, pen=-0.00, r_old= 0.60], Reward=  0.60 /  0.60 /  762017.60, epsilon=  0.100, speed=  0.20, gear= 1, damage= 0.00
Ep:1001 step:20(387429), a_t=[s= 0.13, t= 0.934738, b= 0.000000], r_t=[r= 240.42, prog= 260.74, pen=-20.32, r_old= 240.42], Reward=  2581.66 /  2581.66 /  762017.60, epsilon=  0.100, speed=  86.97, gear= 3, damage= 0.00
Ep:1001 step:40(387449), a_t=[s=-0.18, t= 0.935173, b= 0.000000], r_t=[r= 374.61, prog= 389.31, pen=-14.70, r_old= 374.61], Reward=  8974.81 /  8974.81 /  762017.60, epsilon=  0.100, speed=  129.90, gear= 4, damage= 0.00
Ep:1001 step:60(387469), a_t=[s= 0.02, t= 0.424395, b= 0.000000], r_t=[r= 398.83, prog= 437.27, pen=-38.43, r_old= 398.83], Reward=  17103.44 /  17103.44 /  762017.60, epsilon=  0.100, speed=  145.76, gear= 5, damage= 0.00
Ep:1001 step:80(387489), a_t=[s= 0.10, t= 0.897581, b= 0.000000], r_t=[r= 325.86, prog= 421.57, pen=-95.71, r_old= 325.86], Reward=  24105.98 /  24105.98 /  762017.60, epsilon=  0.100, speed=  140.55, gear= 5, damage= 0.00
Ep:1001 step:100(387509), a_t=[s= 0.65, t= 0.953418, b= 0.000000], r_t=[r= 356.23, prog= 416.50, pen=-60.27, r_old= 356.23], Reward=  30865.39 /  30865.39 /  762017.60, epsilon=  0.100, speed=  139.21, gear= 4, damage= 0.00
Ep:1001 step:120(387529), a_t=[s=-0.00, t= 0.806140, b= 0.000000], r_t=[r= 462.43, prog= 464.92, pen=-2.49, r_old= 462.43], Reward=  39085.25 /  39085.25 /  762017.60, epsilon=  0.100, speed=  154.98, gear= 5, damage= 0.00
Ep:1001 step:140(387549), a_t=[s= 0.05, t= 0.046985, b= 0.000000], r_t=[r= 413.29, prog= 460.30, pen=-47.01, r_old= 413.29], Reward=  47670.82 /  47670.82 /  762017.60, epsilon=  0.100, speed=  153.50, gear= 5, damage= 0.00
Ep:1001 step:160(387569), a_t=[s=-0.06, t= 0.618213, b= 0.000000], r_t=[r= 310.61, prog= 355.23, pen=-44.62, r_old= 310.61], Reward=  54459.28 /  54459.28 /  762017.60, epsilon=  0.100, speed=  120.39, gear= 4, damage= 0.00
